L,MON,SZN,TAR,LDC_SST_CanESM5,OBS_NINO3.4_L3,BIAS,BIAS_ABS
8.5,2008-11-01,JJA,2009-07-15,27.836100000000044,27.74666666666667,0.08943333333337478,0.08943333333337478
7.5,2008-12-01,JJA,2009-07-15,27.930600000000027,27.74666666666667,0.18393333333335704,0.18393333333335704
6.5,2009-01-01,JJA,2009-07-15,27.85220000000004,27.74666666666667,0.10553333333336923,0.10553333333336923
5.5,2009-02-01,JJA,2009-07-15,27.70930000000004,27.74666666666667,-0.037366666666628134,0.037366666666628134
4.5,2009-03-01,JJA,2009-07-15,27.679300000000012,27.74666666666667,-0.06736666666665769,0.06736666666665769
3.5,2009-04-01,JJA,2009-07-15,27.70010000000002,27.74666666666667,-0.046566666666649326,0.046566666666649326
2.5,2009-05-01,JJA,2009-07-15,27.652900000000045,27.74666666666667,-0.09376666666662459,0.09376666666662459
1.5,2009-06-01,JJA,2009-07-15,27.745400000000018,27.74666666666667,-0.0012666666666518722,0.0012666666666518722
10.5,2013-12-01,SON,2014-10-15,27.341200000000015,27.210000000000004,0.13120000000001042,0.13120000000001042
9.5,2014-01-01,SON,2014-10-15,27.262699999999995,27.210000000000004,0.052699999999990865,0.052699999999990865
8.5,2014-02-01,SON,2014-10-15,27.25890000000004,27.210000000000004,0.04890000000003525,0.04890000000003525
7.5,2014-03-01,SON,2014-10-15,27.17670000000004,27.210000000000004,-0.033299999999965024,0.033299999999965024
6.5,2014-04-01,SON,2014-10-15,27.126300000000015,27.210000000000004,-0.08369999999998967,0.08369999999998967
5.5,2014-05-01,SON,2014-10-15,27.175100000000043,27.210000000000004,-0.034899999999961295,0.034899999999961295
4.5,2014-06-01,SON,2014-10-15,27.4169,27.210000000000004,0.20689999999999387,0.20689999999999387
3.5,2014-07-01,SON,2014-10-15,27.52770000000004,27.210000000000004,0.31770000000003407,0.31770000000003407
2.5,2014-08-01,SON,2014-10-15,27.29540000000003,27.210000000000004,0.08540000000002479,0.08540000000002479
1.5,2014-09-01,SON,2014-10-15,26.934600000000046,27.210000000000004,-0.27539999999995857,0.27539999999995857
10.5,2017-11-01,ASO,2018-09-15,27.03660000000002,27.25,-0.21339999999997872,0.21339999999997872
9.5,2017-12-01,ASO,2018-09-15,26.689099999999996,27.25,-0.5609000000000037,0.5609000000000037
8.5,2018-01-01,ASO,2018-09-15,26.968200000000024,27.25,-0.2817999999999756,0.2817999999999756
7.5,2018-02-01,ASO,2018-09-15,27.068700000000035,27.25,-0.1812999999999647,0.1812999999999647
6.5,2018-03-01,ASO,2018-09-15,27.04430000000002,27.25,-0.2056999999999789,0.2056999999999789
5.5,2018-04-01,ASO,2018-09-15,27.08910000000003,27.25,-0.16089999999996962,0.16089999999996962
4.5,2018-05-01,ASO,2018-09-15,27.025500000000022,27.25,-0.22449999999997772,0.22449999999997772
3.5,2018-06-01,ASO,2018-09-15,26.967100000000016,27.25,-0.2828999999999837,0.2828999999999837
2.5,2018-07-01,ASO,2018-09-15,27.19930000000005,27.25,-0.05069999999994934,0.05069999999994934
1.5,2018-08-01,ASO,2018-09-15,27.17700000000002,27.25,-0.07299999999997908,0.07299999999997908
