L,MON,SZN,TAR,LDC_SST_GEM52_NEMO,OBS_NINO3.4_L3,BIAS,BIAS_ABS
4.5,2006-05-01,ASO,2006-09-15,25.02000000000004,27.296666666666667,-2.276666666666628,2.276666666666628
3.5,2006-06-01,ASO,2006-09-15,25.129700000000014,27.296666666666667,-2.166966666666653,2.166966666666653
2.5,2006-07-01,ASO,2006-09-15,25.725400000000036,27.296666666666667,-1.5712666666666308,1.5712666666666308
1.5,2006-08-01,ASO,2006-09-15,26.178500000000042,27.296666666666667,-1.1181666666666246,1.1181666666666246
10.5,2008-09-01,JJA,2009-07-15,24.586600000000033,27.74666666666667,-3.160066666666637,3.160066666666637
9.5,2008-10-01,JJA,2009-07-15,24.371000000000038,27.74666666666667,-3.375666666666632,3.375666666666632
8.5,2008-11-01,JJA,2009-07-15,24.197900000000004,27.74666666666667,-3.5487666666666655,3.5487666666666655
7.5,2008-12-01,JJA,2009-07-15,24.552700000000016,27.74666666666667,-3.193966666666654,3.193966666666654
6.5,2009-01-01,JJA,2009-07-15,24.7688,27.74666666666667,-2.977866666666671,2.977866666666671
5.5,2009-02-01,JJA,2009-07-15,24.90270000000004,27.74666666666667,-2.8439666666666312,2.8439666666666312
4.5,2009-03-01,JJA,2009-07-15,25.209600000000023,27.74666666666667,-2.5370666666666466,2.5370666666666466
3.5,2009-04-01,JJA,2009-07-15,25.703100000000006,27.74666666666667,-2.0435666666666634,2.0435666666666634
2.5,2009-05-01,JJA,2009-07-15,26.496200000000044,27.74666666666667,-1.2504666666666253,1.2504666666666253
1.5,2009-06-01,JJA,2009-07-15,26.996200000000044,27.74666666666667,-0.7504666666666253,0.7504666666666253
10.5,2013-12-01,SON,2014-10-15,24.442800000000034,27.210000000000004,-2.7671999999999706,2.7671999999999706
9.5,2014-01-01,SON,2014-10-15,24.620400000000018,27.210000000000004,-2.5895999999999866,2.5895999999999866
8.5,2014-02-01,SON,2014-10-15,25.12530000000004,27.210000000000004,-2.084699999999966,2.084699999999966
7.5,2014-03-01,SON,2014-10-15,25.527000000000044,27.210000000000004,-1.6829999999999607,1.6829999999999607
6.5,2014-04-01,SON,2014-10-15,25.609700000000032,27.210000000000004,-1.6002999999999723,1.6002999999999723
5.5,2014-05-01,SON,2014-10-15,25.9812,27.210000000000004,-1.2288000000000032,1.2288000000000032
4.5,2014-06-01,SON,2014-10-15,26.024800000000027,27.210000000000004,-1.185199999999977,1.185199999999977
3.5,2014-07-01,SON,2014-10-15,26.091499999999996,27.210000000000004,-1.118500000000008,1.118500000000008
2.5,2014-08-01,SON,2014-10-15,26.171700000000044,27.210000000000004,-1.0382999999999605,1.0382999999999605
1.5,2014-09-01,SON,2014-10-15,26.237600000000043,27.210000000000004,-0.9723999999999613,0.9723999999999613
10.5,2017-11-01,ASO,2018-09-15,24.24350000000004,27.25,-3.00649999999996,3.00649999999996
9.5,2017-12-01,ASO,2018-09-15,24.001100000000008,27.25,-3.248899999999992,3.248899999999992
8.5,2018-01-01,ASO,2018-09-15,24.610400000000027,27.25,-2.639599999999973,2.639599999999973
7.5,2018-02-01,ASO,2018-09-15,24.883100000000013,27.25,-2.366899999999987,2.366899999999987
6.5,2018-03-01,ASO,2018-09-15,24.759500000000003,27.25,-2.4904999999999973,2.4904999999999973
5.5,2018-04-01,ASO,2018-09-15,25.35930000000002,27.25,-1.8906999999999812,1.8906999999999812
4.5,2018-05-01,ASO,2018-09-15,25.669600000000003,27.25,-1.5803999999999974,1.5803999999999974
3.5,2018-06-01,ASO,2018-09-15,25.8193,27.25,-1.4307000000000016,1.4307000000000016
2.5,2018-07-01,ASO,2018-09-15,26.22040000000004,27.25,-1.0295999999999594,1.0295999999999594
1.5,2018-08-01,ASO,2018-09-15,26.401700000000005,27.25,-0.8482999999999947,0.8482999999999947
