L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1,MEAN_SST_COLA_CESM1_ONETWO,VAR_SST_COLA_CESM1_ONETWO,MEAN_SST_COLA_CESM1_THREE,VAR_SST_COLA_CESM1_THREE,MEAN_SST_COLA_CESM1_FOUR,VAR_SST_COLA_CESM1_FOUR
7.5,8,3,FMA,26.612999,1.4669923759887586,24.940738,0.2446409106717241,26.215661666666666,0.8298901983385067,27.979074333333333,0.9846155553978148
7.5,9,4,MAM,27.411099666666665,1.0185351720147362,24.803341999999997,0.3555532981889656,26.943273,0.6948602347044831,28.481877,0.5692159604286202
7.5,10,5,AMJ,27.759624,0.7876902281646325,23.763760333333337,0.4955733486860934,26.946558999999997,0.5552441797955167,28.759544,0.3542811060386213
7.5,11,6,MJJ,27.649744,0.8261504158024712,22.530407,0.662170032545864,26.376823666666667,0.6302854265274704,28.856907333333332,0.3136107687443683
7.5,12,7,JJA,26.86314666666667,1.0728831986577578,21.095813,0.624252218428621,25.216208666666667,0.8366052889291957,28.518511666666665,0.4286827180488506
8.5,1,9,ASO,25.253525,1.7014004621917818,19.986532,0.4810411669475853,23.610890666666663,1.0603215623857472,27.443495666666667,0.7753167865564362
8.5,2,10,SON,24.755414,1.9248659465771152,20.209564666666665,0.484433556605056,23.234726,1.2758092033903476,27.051978,1.0131971397751718
8.5,3,11,OND,25.047751,2.6076966078373336,21.067135333333333,0.7762058064464388,23.689354666666667,1.982489970701608,27.183862666666663,1.4290416017305754
8.5,4,12,NDJ,25.351127,2.3825495259575744,22.034483666666667,0.49324649058954,24.185743,1.6283253804217217,27.376850666666662,1.3868244848891962
8.5,5,1,DJF,25.504256,2.5194191438560116,23.22694166666667,0.5619469142764364,24.71167366666667,1.6874602164998855,27.342491,1.4710737326920686
8.5,6,2,JFM,25.906684,2.122608391541932,24.43439933333333,0.355951247558162,25.406835,1.2325052250672424,27.504831333333335,1.4227732294188509
8.5,7,3,FMA,26.655106,1.6714757590353106,25.230911666666668,0.2977688757867823,26.300337,0.9753173730010356,27.929199333333333,1.1238919972340249
8.5,8,4,MAM,27.272523666666665,1.1718659551635406,25.052573666666667,0.2950791886102291,26.889035666666665,0.7106128400116087,28.29060433333333,0.7546378617978173
8.5,9,5,AMJ,27.914252,0.8330408947867127,24.371570333333334,0.4575422193274716,27.246290666666667,0.6006088951581603,28.792670666666663,0.4018739629167806
8.5,10,6,MJJ,27.843161666666667,0.8817346912925055,23.040974333333335,0.7787308232874717,26.690656333333333,0.7260208215895412,28.908954333333337,0.3036719953909187
8.5,11,7,JJA,27.221268333333335,1.0619325475899764,21.772126333333333,0.8137458096585063,25.714398333333335,0.8278139143867819,28.69913066666667,0.3848613169512634
8.5,12,8,JAS,26.129353,1.3639289064867466,20.53236766666667,0.6065283635357479,24.473305333333332,0.97724107106023,28.04992,0.6220885697586215
9.5,1,10,SON,25.05897433333333,1.8697505162580002,20.353575666666664,0.4079668236254026,23.521074333333335,1.081646175915056,27.225704666666665,0.8590563172602298
9.5,2,11,OND,24.85219,2.0007814477862427,20.92839,0.4277875359034487,23.475300333333333,1.2455016916792017,27.041315666666662,1.0694656193081604
9.5,3,12,NDJ,25.272681666666664,2.6354991270834027,22.11041,0.7274858985517242,24.159134333333338,1.88789469151506,27.22920866666667,1.4531097217291922
9.5,4,1,DJF,25.626243,2.2307766477660005,23.347126333333332,0.4076721759481602,24.813426,1.386084018273104,27.42017666666667,1.3433561668367828
9.5,5,2,JFM,25.933549666666668,2.195458223432575,24.497092,0.4181845183544831,25.438793333333333,1.3885124989540216,27.45042833333333,1.3243150722833328
9.5,6,3,FMA,26.481973999999997,1.7196220851947708,25.259069666666665,0.2985752266654012,26.166444666666667,1.01964742963954,27.72547366666667,1.166335902355056
9.5,7,4,MAM,27.293857,1.2890345828749419,25.336518,0.3436587800441384,26.960522333333333,0.817755018652988,28.247613,0.877197377221722
9.5,8,5,AMJ,27.79621033333333,0.9749234183410234,24.557467666666664,0.4604624486736783,27.213276,0.6648480291834484,28.625852,0.5552348178234475
9.5,9,6,MJJ,28.049982,0.8245123292249881,23.621713333333332,0.6555413405954045,27.04594,0.6890896368482755,28.975578666666667,0.3124295758257467
9.5,10,7,JJA,27.486488,1.204548063341368,22.24256066666667,1.0146459728340227,26.075644333333333,1.021491567790921,28.800057666666664,0.3620130562874713
9.5,11,8,JAS,26.593979666666662,1.3587973021900919,21.171095,0.8320078167362086,25.055773,0.997000015842416,28.324304666666663,0.523226555011952
9.5,12,9,ASO,25.569731,1.587275841100322,20.371405,0.5175433473086206,24.010023333333333,1.04169210534023,27.623803,0.7850408854286214
10.5,1,11,OND,25.160545666666668,1.9876916651043914,21.058532666666668,0.3716865864064355,23.750555666666667,1.0939610535840227,27.244249,0.9065923188782758
10.5,2,12,NDJ,25.083844,1.9339974554935175,21.98387166666667,0.379568011793679,23.963409666666667,1.1251904678033284,27.104937333333332,1.1067597397857474
10.5,3,1,DJF,25.551255333333337,2.4433427539501267,23.395419666666665,0.5933334638929889,24.793172666666667,1.597518304806438,27.258684,1.406303549617933
10.5,4,2,JFM,26.016896,1.9624120859612524,24.586732,0.2972266419200002,25.497847666666665,1.1300964529633342,27.515197666666666,1.2183099497426435
10.5,5,3,FMA,26.499993333333336,1.7616276014641616,25.318042666666667,0.332904135765057,26.188684666666667,1.103601552184368,27.665999666666668,1.124856239451608
10.5,6,4,MAM,27.130852333333333,1.3537919003401957,25.390902,0.3378317276648276,26.836889666666664,0.8651207915067818,28.066502333333336,0.9250079319288476
10.5,7,5,AMJ,27.813837,1.0439566669376779,24.822253,0.4881701612768977,27.291153333333337,0.7482971863747145,28.585999,0.6519342204644829
10.5,8,6,MJJ,27.968482,0.9533719542197586,23.714368333333333,0.7115243092833353,27.040491666666664,0.7471526550074693,28.840817333333337,0.4345092978616098
10.5,9,7,JJA,27.762687333333336,1.0685144082974487,22.773825,0.895393777487929,26.473859666666662,0.9509206160240224,28.933831,0.3186939971058631
10.5,10,8,JAS,26.928002333333332,1.6378316359184826,21.614455333333336,1.1296173369498854,25.465826333333332,1.29268060170678,28.499873333333333,0.5258007889954025
10.5,11,9,ASO,26.11593633333333,1.6615216140678508,20.92848466666667,0.7678255179291924,24.638735,1.123519118556895,27.985524666666667,0.6615678455774706
10.5,12,10,SON,25.414888,1.7765130048080686,20.647734,0.4354250414524138,23.918051666666667,1.0930745033523008,27.464329666666668,0.8459625900378156
