M,L,START,TARGET,SZN,MEAN_SST_CanESM5,VAR_SST_CanESM5
5,8.5,6,2,JFM,27.085906666666688,0.6541580006436835
6,8.5,6,2,JFM,27.041226666666695,0.6849884137471256
7,8.5,6,2,JFM,27.112350000000024,0.585382319137932
8,8.5,6,2,JFM,27.23084000000002,0.6220908369655215
9,8.5,6,2,JFM,27.127736666666685,0.525054775505754
10,8.5,6,2,JFM,27.151450000000022,0.5996292715517226
11,8.5,6,2,JFM,27.10390333333336,0.7256316899885078
12,8.5,6,2,JFM,27.162910000000025,0.42527247541379687
13,8.5,6,2,JFM,27.005970000000023,0.48488327251724916
14,8.5,6,2,JFM,27.209060000000022,0.47476101558621153
15,8.5,6,2,JFM,27.127176666666696,0.36926739771264416
16,8.5,6,2,JFM,27.22859666666669,0.7281355065402222
17,8.5,6,2,JFM,27.130900000000022,0.40377421310344086
18,8.5,6,2,JFM,27.247110000000024,0.4755015326551725
19,8.5,6,2,JFM,27.086613333333357,0.5474127687816033
20,8.5,6,2,JFM,27.152683333333357,0.48075812764368203
1,8.5,7,3,FMA,27.66095000000002,0.43188124189655663
2,8.5,7,3,FMA,27.58624333333336,0.5112671301264311
3,8.5,7,3,FMA,27.652903333333356,0.5933521389540161
4,8.5,7,3,FMA,27.643583333333357,0.6316424455747058
5,8.5,7,3,FMA,27.57598000000002,0.7618080982068968
6,8.5,7,3,FMA,27.573616666666684,0.710704961436779
7,8.5,7,3,FMA,27.651320000000023,0.6383676926896522
8,8.5,7,3,FMA,27.542440000000024,0.6116600776551766
9,8.5,7,3,FMA,27.66426333333336,0.571490907229876
10,8.5,7,3,FMA,27.56748000000002,0.7749983595862138
11,8.5,7,3,FMA,27.592563333333356,0.503551459643681
12,8.5,7,3,FMA,27.605640000000033,0.5607003873103432
13,8.5,7,3,FMA,27.662476666666695,0.48250059081609076
14,8.5,7,3,FMA,27.589300000000026,0.48926196896551427
15,8.5,7,3,FMA,27.561580000000017,0.6608607106206968
16,8.5,7,3,FMA,27.494440000000022,0.5361998376551711
17,8.5,7,3,FMA,27.633856666666695,0.408293772885055
18,8.5,7,3,FMA,27.542506666666686,0.5175889351264391
19,8.5,7,3,FMA,27.66752666666669,0.4085044613333441
20,8.5,7,3,FMA,27.60168333333335,0.5718589145402364
1,8.5,8,4,MAM,27.910236666666687,0.5609585982643788
2,8.5,8,4,MAM,27.93030000000002,0.5017424855172397
3,8.5,8,4,MAM,28.046670000000024,0.3671716587241304
4,8.5,8,4,MAM,27.94190000000002,0.3584129275862121
5,8.5,8,4,MAM,27.96544000000002,0.5487396790344872
6,8.5,8,4,MAM,27.96001000000002,0.5825709540344851
7,8.5,8,4,MAM,27.804680000000022,0.27488231062068325
8,8.5,8,4,MAM,28.00627333333335,0.3556259702988467
9,8.5,8,4,MAM,27.991183333333353,0.3432593917816083
10,8.5,8,4,MAM,28.013603333333357,0.39603769619539625
11,8.5,8,4,MAM,27.965993333333355,0.37032363443678185
12,8.5,8,4,MAM,28.04305000000002,0.4858085225861989
13,8.5,8,4,MAM,27.92967333333336,0.41059147098850735
14,8.5,8,4,MAM,27.85761000000002,0.5175971926551654
15,8.5,8,4,MAM,27.88727000000002,0.5806391359655214
16,8.5,8,4,MAM,28.041386666666696,0.5097952818850542
17,8.5,8,4,MAM,27.90131000000002,0.5102853167931091
18,8.5,8,4,MAM,27.970090000000024,0.5262378319655243
19,8.5,8,4,MAM,28.039283333333355,0.5991690704022978
20,8.5,8,4,MAM,27.996013333333355,0.5189217549885113
1,8.5,9,5,AMJ,28.08050666666668,0.20786208754022936
2,8.5,9,5,AMJ,27.973890000000022,0.4886083443793031
3,8.5,9,5,AMJ,28.130810000000018,0.4740203174827568
4,8.5,9,5,AMJ,28.09776666666669,0.43215086091954175
5,8.5,9,5,AMJ,28.168663333333356,0.22140353826436915
6,8.5,9,5,AMJ,27.995610000000017,0.35538155748275585
7,8.5,9,5,AMJ,28.009830000000026,0.5090099021724175
8,8.5,9,5,AMJ,28.198860000000025,0.4048190811034484
9,8.5,9,5,AMJ,28.12944000000002,0.4480349411034441
10,8.5,9,5,AMJ,28.06938000000002,0.40401346855172554
11,8.5,9,5,AMJ,28.053293333333354,0.3323764558160903
12,8.5,9,5,AMJ,28.130966666666687,0.38909134574712234
13,8.5,9,5,AMJ,28.213936666666687,0.2969272258505809
14,8.5,9,5,AMJ,28.017376666666685,0.3471653032298805
15,8.5,9,5,AMJ,28.212496666666688,0.3709348692988612
16,8.5,9,5,AMJ,28.144270000000024,0.5358685056206862
17,8.5,9,5,AMJ,28.116283333333357,0.3543205869540223
18,8.5,9,5,AMJ,28.037733333333357,0.6088943871264358
19,8.5,9,5,AMJ,28.08091666666669,0.32759022074712724
20,8.5,9,5,AMJ,28.07430666666669,0.3184887723678079
1,8.5,10,6,MJJ,27.864460000000026,0.5244629735172456
2,8.5,10,6,MJJ,27.844013333333358,0.34379870602299273
3,8.5,10,6,MJJ,27.846010000000028,0.29867916713793197
4,8.5,10,6,MJJ,27.934736666666694,0.19938288447126593
5,8.5,10,6,MJJ,27.987513333333354,0.4144039025747198
6,8.5,10,6,MJJ,27.76413666666669,0.3347069541264349
7,8.5,10,6,MJJ,27.872230000000023,0.2476548759655092
8,8.5,10,6,MJJ,27.79863333333335,0.3881432898850542
9,8.5,10,6,MJJ,27.907196666666685,0.3374067727471254
10,8.5,10,6,MJJ,27.836980000000025,0.29118346027586006
11,8.5,10,6,MJJ,27.80720333333336,0.25893210102298525
12,8.5,10,6,MJJ,27.81218333333335,0.27579504350574535
13,8.5,10,6,MJJ,27.961110000000023,0.3257563595517244
14,8.5,10,6,MJJ,27.990223333333354,0.30025404460919985
15,8.5,10,6,MJJ,27.822946666666688,0.45530066533333524
16,8.5,10,6,MJJ,27.91176000000002,0.3003540362758675
17,8.5,10,6,MJJ,27.83074666666669,0.4429465922298804
18,8.5,10,6,MJJ,27.892720000000022,0.2567849416551708
19,8.5,10,6,MJJ,27.876503333333357,0.4385296361953976
20,8.5,10,6,MJJ,27.973836666666692,0.17773995067816337
1,8.5,11,7,JJA,27.39907000000002,0.3026566932068942
2,8.5,11,7,JJA,27.50518666666669,0.30122518050574454
3,8.5,11,7,JJA,27.293490000000027,0.28443503403447745
4,8.5,11,7,JJA,27.35849000000002,0.3060493650689653
5,8.5,11,7,JJA,27.415410000000023,0.25750376644827705
6,8.5,11,7,JJA,27.435633333333353,0.2589017740229883
7,8.5,11,7,JJA,27.425006666666686,0.2932694040919496
8,8.5,11,7,JJA,27.509976666666695,0.30046023840229286
9,8.5,11,7,JJA,27.45465666666669,0.2778109935747156
10,8.5,11,7,JJA,27.336130000000026,0.38331347803448473
11,8.5,11,7,JJA,27.45847333333336,0.29891855650574806
12,8.5,11,7,JJA,27.343880000000024,0.2861277444137959
13,8.5,11,7,JJA,27.570446666666694,0.353911958436781
14,8.5,11,7,JJA,27.377190000000027,0.3175194692068926
15,8.5,11,7,JJA,27.46556000000002,0.30380285834482856
