M,L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1
6,5.5,8,1,DJF,25.77555733333333,1.8423899015719518
7,5.5,8,1,DJF,25.868112333333332,2.1770222645495414
8,5.5,8,1,DJF,25.748859,2.057136984588621
9,5.5,8,1,DJF,25.657299666666667,2.1126419054033336
10,5.5,8,1,DJF,25.649253666666667,1.8364836075136808
1,5.5,9,2,JFM,26.061518999999997,1.4771124661472421
2,5.5,9,2,JFM,26.216567,1.5018012909941378
3,5.5,9,2,JFM,26.243897333333333,1.5726976969857462
4,5.5,9,2,JFM,26.32492166666667,1.6775914015178146
5,5.5,9,2,JFM,26.197373333333335,1.63425787698161
6,5.5,9,2,JFM,26.184152666666666,1.494757478109885
7,5.5,9,2,JFM,26.432581333333335,1.7734563218740222
8,5.5,9,2,JFM,26.401838666666666,1.519298346294712
9,5.5,9,2,JFM,26.286057666666668,1.6702016233840238
10,5.5,9,2,JFM,26.341684666666666,1.8326387672533337
1,5.5,10,3,FMA,26.600129,1.1424842939472404
2,5.5,10,3,FMA,26.704569,0.9876180039265511
3,5.5,10,3,FMA,26.698027000000003,1.1430550230493106
4,5.5,10,3,FMA,26.792071,0.9206069626575856
5,5.5,10,3,FMA,26.764271333333333,1.1358085317222995
6,5.5,10,3,FMA,26.504121666666666,1.024556217193677
7,5.5,10,3,FMA,26.741901666666667,1.0630337459591943
8,5.5,10,3,FMA,26.76721233333333,1.217022970666782
9,5.5,10,3,FMA,26.631071000000002,1.0679470949403451
10,5.5,10,3,FMA,26.676191666666668,1.2414702015591956
1,5.5,11,4,MAM,27.115289333333333,0.8153735772064379
2,5.5,11,4,MAM,27.161178333333332,0.866534475400575
3,5.5,11,4,MAM,27.165392666666666,0.9477457430891953
4,5.5,11,4,MAM,27.19350466666667,0.8077201320188508
5,5.5,11,4,MAM,27.270385666666666,0.8209575941771257
6,5.5,11,4,MAM,27.123403666666665,0.6531167783757463
7,5.5,11,4,MAM,27.153139333333336,0.8332665712478162
8,5.5,11,4,MAM,27.126058333333333,1.0848756015522996
9,5.5,11,4,MAM,27.174847666666665,0.7622639004254034
10,5.5,11,4,MAM,27.181065333333333,0.8404558636809211
1,5.5,12,5,AMJ,27.495495333333334,0.6743406170050579
2,5.5,12,5,AMJ,27.474082666666668,0.5689063006478144
3,5.5,12,5,AMJ,27.357942666666666,0.3892665726616092
4,5.5,12,5,AMJ,27.583122333333332,0.8455191899978153
5,5.5,12,5,AMJ,27.461420999999998,0.7644030892713791
6,5.5,12,5,AMJ,27.520508,0.7434185756855165
7,5.5,12,5,AMJ,27.44413033333333,0.698859163120574
8,5.5,12,5,AMJ,27.508787666666667,0.6271818140047125
9,5.5,12,5,AMJ,27.453611666666667,0.6380453755316098
10,5.5,12,5,AMJ,27.397888666666667,0.6217583380050571
1,6.5,1,7,JJA,26.722055,1.2371558747844786
2,6.5,1,7,JJA,26.775845333333333,0.9980832399291955
3,6.5,1,7,JJA,26.771920333333334,1.154698800617126
4,6.5,1,7,JJA,26.624076666666667,0.9081946141609187
5,6.5,1,7,JJA,26.594879,1.035046533829998
6,6.5,1,7,JJA,26.725074666666668,0.9428718335912648
7,6.5,1,7,JJA,26.765457333333334,1.0363656003581623
8,6.5,1,7,JJA,26.903612666666668,0.9564764274409195
9,6.5,1,7,JJA,26.73924933333333,1.1203513783374697
10,6.5,1,7,JJA,26.693377666666667,1.2467467070805733
1,6.5,2,8,JAS,25.643482666666667,1.2917396541167823
2,6.5,2,8,JAS,25.544584,1.6330693651144814
3,6.5,2,8,JAS,25.561829333333332,1.5127784379374705
4,6.5,2,8,JAS,25.581296000000002,1.3473642587144796
