L,START,TARGET,SZN,MEAN_SST_CanESM5,VAR_SST_CanESM5,MEAN_SST_CanESM5_ONETWO,VAR_SST_CanESM5_ONETWO,MEAN_SST_CanESM5_THREE,VAR_SST_CanESM5_THREE,MEAN_SST_CanESM5_FOUR,VAR_SST_CanESM5_FOUR
6.5,8,2,JFM,26.945593333333356,0.6939931457252866,27.029350000000026,0.1906657991379266,26.66542333333336,0.5160366694367773,28.333626666666685,0.305182459264369
6.5,9,3,FMA,27.35942666666669,0.5521206725080472,27.482620000000026,0.1674831085517208,27.259730000000015,0.3894741180344864,28.48906333333336,0.2447002603333304
6.5,10,4,MAM,27.762350000000023,0.4783357282390792,27.100926666666687,0.1461611682298859,27.472440000000024,0.2963327342068965,28.803643333333355,0.2054124528850567
6.5,11,5,AMJ,27.84108333333336,0.4757664433511489,26.048730000000024,0.1348989566551701,27.14037333333335,0.2288495951264381,28.98647333333336,0.2193594847816099
6.5,12,6,MJJ,27.625060000000015,0.37531276139367803,24.863540000000025,0.1960998728275888,26.48550333333335,0.1973049030919536,29.02035333333335,0.1775618639540205
7.5,1,8,JAS,27.068893333333353,0.2072571438471269,23.44515333333336,0.3345784156781637,25.56801666666669,0.2113835007471279,28.947830000000028,0.0934152318275853
7.5,2,9,ASO,26.962260000000025,0.21395330216839215,23.46037000000002,0.2772351566551712,25.51075333333336,0.1712148729195415,28.982046666666687,0.1091480156781608
7.5,3,10,SON,26.99057666666669,0.2852030297454021,23.811786666666695,0.2387774874022973,25.628496666666692,0.1912783244712693,29.044873333333353,0.1447234378850542
7.5,4,11,OND,26.941486666666687,0.38215647431379374,24.401600000000023,0.178283107586203,25.734853333333355,0.2308590239540212,28.97600000000002,0.1987444013793121
7.5,5,12,NDJ,26.84277666666669,0.5805418175551733,25.268963333333357,0.2087930017126418,25.913356666666687,0.4328710225402347,28.721590000000024,0.2900635850689653
7.5,6,1,DJF,26.848756666666695,0.5952222266666666,26.266240000000025,0.1759222673103423,26.267933333333357,0.4455930029885072,28.44155666666669,0.2798458873678204
7.5,7,2,JFM,27.112170000000024,0.6810651895195412,27.159930000000024,0.1857824228620701,26.815373333333355,0.4930918834022963,28.404946666666692,0.3089152329195423
7.5,8,3,FMA,27.465986666666687,0.5615941745534475,27.568166666666684,0.1561939340229876,27.335263333333355,0.3880215341264382,28.544260000000023,0.2411863769655124
7.5,9,4,MAM,27.866183333333357,0.4526961763982732,27.237640000000024,0.1583229845517217,27.598370000000024,0.2860913414827596,28.83836666666669,0.1971079719540226
7.5,10,5,AMJ,27.989383333333357,0.4019131123166669,26.22511333333336,0.1674516763678189,27.312993333333353,0.2252042585747071,29.077030000000015,0.1711717256206907
7.5,11,6,MJJ,27.72290666666669,0.3907689393522996,24.952456666666688,0.1604152611609172,26.599196666666685,0.1851180906781643,29.070573333333353,0.186863333747128
