L,MON,LDC_SST_NCEP_CFSv2,LDC_SST_NCEP_CFSv2_ONETWO,LDC_SST_NCEP_CFSv2_THREE,LDC_SST_NCEP_CFSv2_FOUR
8.5,0000 1 Jun 1992,25.9637,26.69718,25.69207,27.60028
1.5,0000 1 Jul 1992,24.85641,21.92597,23.29706,27.58836
2.5,0000 1 Jul 1992,24.09355,21.87164,22.75914,27.06127
3.5,0000 1 Jul 1992,24.2151,22.14299,22.97373,27.02201
4.5,0000 1 Jul 1992,24.75775,22.88977,23.53389,27.36251
5.5,0000 1 Jul 1992,25.33938,24.04881,24.23256,27.76074
6.5,0000 1 Jul 1992,25.86561,25.54874,25.08287,27.97366
7.5,0000 1 Jul 1992,26.2872,26.90021,25.93364,27.99493
8.5,0000 1 Jul 1992,26.79204,27.71394,26.76497,28.0815
1.5,0000 1 Aug 1992,24.46402,21.91495,22.98384,27.33278
2.5,0000 1 Aug 1992,24.15265,22.27101,22.83787,27.09534
3.5,0000 1 Aug 1992,24.44838,22.76377,23.12062,27.34166
4.5,0000 1 Aug 1992,24.97543,23.78767,23.73046,27.68197
5.5,0000 1 Aug 1992,25.55344,25.1407,24.65133,27.86183
6.5,0000 1 Aug 1992,26.12229,26.55694,25.69322,27.92976
7.5,0000 1 Aug 1992,26.71709,27.39383,26.65339,28.03485
8.5,0000 1 Aug 1992,27.41797,27.52956,27.4064,28.34609
1.5,0000 1 Sep 1992,25.07707,22.35836,23.53565,27.72229
2.5,0000 1 Sep 1992,25.01996,22.89969,23.46238,27.83174
3.5,0000 1 Sep 1992,25.37768,23.76606,23.9167,28.07676
4.5,0000 1 Sep 1992,25.82247,25.07504,24.72613,28.15757
5.5,0000 1 Sep 1992,26.2817,26.48447,25.74876,28.13823
6.5,0000 1 Sep 1992,26.82545,27.41442,26.69018,28.20443
7.5,0000 1 Sep 1992,27.52549,27.53376,27.43318,28.49277
8.5,0000 1 Sep 1992,28.03855,26.84942,27.62282,28.87632
1.5,0000 1 Oct 1992,25.5695,23.05518,24.01127,28.17584
2.5,0000 1 Oct 1992,25.69081,23.89732,24.18567,28.26871
3.5,0000 1 Oct 1992,26.04309,25.06562,24.83645,28.30147
4.5,0000 1 Oct 1992,26.4403,26.31589,25.72922,28.23859
5.5,0000 1 Oct 1992,26.88154,27.25599,26.6244,28.22538
6.5,0000 1 Oct 1992,27.50782,27.3431,27.32415,28.44874
7.5,0000 1 Oct 1992,27.99134,26.60198,27.49807,28.78609
8.5,0000 1 Oct 1992,27.93382,25.41614,27.03541,28.93592
1.5,0000 1 Nov 1992,25.94594,24.01896,24.60894,28.35709
2.5,0000 1 Nov 1992,26.00545,25.2151,24.99368,28.26898
3.5,0000 1 Nov 1992,26.32915,26.41817,25.7571,28.1731
4.5,0000 1 Nov 1992,26.86948,27.24804,26.66001,28.21639
5.5,0000 1 Nov 1992,27.57588,27.31891,27.4072,28.53603
6.5,0000 1 Nov 1992,28.11246,26.56561,27.6069,28.9768
7.5,0000 1 Nov 1992,28.09047,25.46459,27.19519,29.13344
8.5,0000 1 Nov 1992,27.47785,24.46884,26.36803,28.87732
1.5,0000 1 Dec 1992,26.21663,24.92657,25.15676,28.24564
2.5,0000 1 Dec 1992,26.3542,26.2629,25.79318,28.0659
3.5,0000 1 Dec 1992,26.82409,27.07023,26.58062,28.06816
4.5,0000 1 Dec 1992,27.47188,26.9898,27.21511,28.32314
5.5,0000 1 Dec 1992,27.8811,26.09974,27.26823,28.66209
6.5,0000 1 Dec 1992,27.73896,24.87462,26.73568,28.79329
7.5,0000 1 Dec 1992,27.0067,23.86166,25.82553,28.49215
8.5,0000 1 Dec 1992,26.23882,23.32084,25.10093,28.0631
1.5,0000 1 Jan 1993,26.01142,25.99599,25.46044,27.77635
2.5,0000 1 Jan 1993,26.38805,26.69213,26.11168,27.72668
3.5,0000 1 Jan 1993,27.12347,26.28308,26.73972,28.0379
4.5,0000 1 Jan 1993,27.63304,25.25258,26.84701,28.49953
5.5,0000 1 Jan 1993,27.53555,24.08939,26.38188,28.70926
6.5,0000 1 Jan 1993,26.85983,23.41637,25.59322,28.45929
7.5,0000 1 Jan 1993,26.18456,23.11674,25.02779,28.05153
8.5,0000 1 Jan 1993,25.82745,23.12167,24.79654,27.80378
1.5,0000 1 Feb 1993,26.90332,26.66054,26.45064,28.19333
2.5,0000 1 Feb 1993,27.5688,26.4372,27.01502,28.58161
3.5,0000 1 Feb 1993,27.98466,25.67548,27.17814,28.94292
4.5,0000 1 Feb 1993,27.81589,24.74178,26.78369,28.93607
5.5,0000 1 Feb 1993,27.1086,23.95402,25.97252,28.56107
6.5,0000 1 Feb 1993,26.38764,23.36061,25.26501,28.13216
7.5,0000 1 Feb 1993,26.00345,23.12343,24.88464,27.93317
8.5,0000 1 Feb 1993,26.04795,23.19313,24.85501,28.04228
1.5,0000 1 Mar 1993,28.4615,26.59737,27.91415,28.92032
2.5,0000 1 Mar 1993,28.85829,26.07612,28.06773,29.24306
3.5,0000 1 Mar 1993,28.64874,25.29485,27.67086,29.20429
4.5,0000 1 Mar 1993,27.95753,24.54707,26.89558,28.8682
5.5,0000 1 Mar 1993,27.25533,23.89638,26.13283,28.54371
6.5,0000 1 Mar 1993,26.8249,23.53139,25.63575,28.41485
7.5,0000 1 Mar 1993,26.7773,23.54565,25.48538,28.48559
8.5,0000 1 Mar 1993,26.95444,23.98117,25.60733,28.6039
1.5,0000 1 Apr 1993,28.79914,25.94161,28.0463,29.34921
2.5,0000 1 Apr 1993,28.56042,25.1211,27.53704,29.29692
3.5,0000 1 Apr 1993,27.83887,24.32683,26.70945,28.94036
4.5,0000 1 Apr 1993,27.14852,23.72462,25.98194,28.59664
5.5,0000 1 Apr 1993,26.75481,23.4471,25.5583,28.44266
6.5,0000 1 Apr 1993,26.72269,23.57356,25.46726,28.49002
7.5,0000 1 Apr 1993,26.91767,24.09451,25.6304,28.59613
8.5,0000 1 Apr 1993,27.20571,25.08047,25.97602,28.64124
1.5,0000 1 May 1993,27.94164,24.44933,26.84483,29.06632
2.5,0000 1 May 1993,27.0227,23.55127,25.79785,28.6288
3.5,0000 1 May 1993,26.16651,22.92528,24.9405,28.08921
4.5,0000 1 May 1993,25.74584,22.74436,24.52666,27.83008
5.5,0000 1 May 1993,25.71422,22.93445,24.48555,27.85656
6.5,0000 1 May 1993,25.96976,23.45237,24.68855,28.08598
7.5,0000 1 May 1993,26.32191,24.41395,25.09101,28.30013
8.5,0000 1 May 1993,26.63204,25.68662,25.64597,28.33236
1.5,0000 1 Jun 1993,26.42613,23.29123,25.23746,28.22969
2.5,0000 1 Jun 1993,25.38856,22.68687,24.20826,27.59879
3.5,0000 1 Jun 1993,24.82967,22.49071,23.72369,27.17251
4.5,0000 1 Jun 1993,24.74874,22.62215,23.66592,27.11644
5.5,0000 1 Jun 1993,24.9579,23.04764,23.83233,27.30189
6.5,0000 1 Jun 1993,25.30829,23.94453,24.19665,27.59923
7.5,0000 1 Jun 1993,25.69731,25.25266,24.83326,27.78819
8.5,0000 1 Jun 1993,26.08578,26.55428,25.64297,27.8549
1.5,0000 1 Jul 1993,25.29972,22.64092,24.05865,27.69331
2.5,0000 1 Jul 1993,24.62003,22.43811,23.46658,27.20835
3.5,0000 1 Jul 1993,24.61438,22.49935,23.48163,27.14032
4.5,0000 1 Jul 1993,24.83414,22.95561,23.67357,27.34147
5.5,0000 1 Jul 1993,25.15798,23.89811,24.08063,27.62197
6.5,0000 1 Jul 1993,25.52995,25.24524,24.748,27.77815
7.5,0000 1 Jul 1993,25.92811,26.55238,25.56157,27.8181
8.5,0000 1 Jul 1993,26.46908,27.36686,26.41314,27.91856
1.5,0000 1 Aug 1993,25.26683,22.42897,23.86985,27.79082
2.5,0000 1 Aug 1993,24.97266,22.58208,23.64495,27.64231
3.5,0000 1 Aug 1993,25.1319,23.01995,23.75985,27.80198
4.5,0000 1 Aug 1993,25.53465,23.93767,24.19259,28.05597
5.5,0000 1 Aug 1993,25.93292,25.20049,24.87988,28.13948
6.5,0000 1 Aug 1993,26.24181,26.51106,25.68961,28.07049
7.5,0000 1 Aug 1993,26.60126,27.31956,26.46192,27.99671
8.5,0000 1 Aug 1993,27.17156,27.27609,27.09411,28.18833
1.5,0000 1 Sep 1993,25.64544,22.78331,24.06897,28.2594
2.5,0000 1 Sep 1993,25.57293,23.30873,24.06523,28.28023
3.5,0000 1 Sep 1993,25.71386,24.13303,24.31711,28.37471
4.5,0000 1 Sep 1993,25.89599,25.27053,24.84874,28.27869
5.5,0000 1 Sep 1993,26.10162,26.44714,25.57321,28.0532
6.5,0000 1 Sep 1993,26.44493,27.14969,26.30564,27.93739
7.5,0000 1 Sep 1993,27.03227,27.04502,26.91864,28.1172
8.5,0000 1 Sep 1993,27.50029,26.05021,27.03917,28.44291
1.5,0000 1 Oct 1993,26.25988,23.33714,24.72551,28.58079
2.5,0000 1 Oct 1993,26.07822,24.23705,24.67655,28.50546
3.5,0000 1 Oct 1993,26.05371,25.20984,24.94017,28.32198
4.5,0000 1 Oct 1993,26.18219,26.2181,25.51772,28.05729
5.5,0000 1 Oct 1993,26.49772,26.82469,26.18013,27.93621
6.5,0000 1 Oct 1993,26.9909,26.52188,26.63773,28.10332
7.5,0000 1 Oct 1993,27.39745,25.42256,26.68074,28.43818
8.5,0000 1 Oct 1993,27.35296,24.08853,26.21725,28.61667
1.5,0000 1 Nov 1993,26.53017,24.40888,25.12243,28.74404
2.5,0000 1 Nov 1993,26.32042,25.39076,25.20873,28.54843
3.5,0000 1 Nov 1993,26.30186,26.29563,25.63547,28.23145
4.5,0000 1 Nov 1993,26.5828,26.8553,26.24967,28.04147
5.5,0000 1 Nov 1993,27.08269,26.48281,26.71033,28.17238
6.5,0000 1 Nov 1993,27.43312,25.29506,26.66383,28.4742
7.5,0000 1 Nov 1993,27.31344,23.9253,26.11587,28.60857
8.5,0000 1 Nov 1993,26.68286,23.03657,25.30143,28.35422
1.5,0000 1 Dec 1993,26.20889,24.99858,25.12434,28.45903
2.5,0000 1 Dec 1993,26.09888,26.0862,25.45906,28.142
3.5,0000 1 Dec 1993,26.41434,26.58867,26.03085,28.01693
4.5,0000 1 Dec 1993,26.92907,26.22163,26.47797,28.16332
5.5,0000 1 Dec 1993,27.25609,25.08755,26.44006,28.4272
6.5,0000 1 Dec 1993,27.05872,23.80467,25.8574,28.4716
7.5,0000 1 Dec 1993,26.39034,22.87359,25.01183,28.13543
8.5,0000 1 Dec 1993,25.63184,22.52811,24.3229,27.6523
1.5,0000 1 Jan 1994,26.22052,25.78755,25.5523,28.00871
2.5,0000 1 Jan 1994,26.51188,26.31695,26.03011,27.96413
3.5,0000 1 Jan 1994,27.09133,25.97982,26.52546,28.23021
4.5,0000 1 Jan 1994,27.49806,24.98549,26.61072,28.57133
