L,MON,LDC_SST_GFDL_SPEAR,LDC_SST_GFDL_SPEAR_ONETWO,LDC_SST_GFDL_SPEAR_THREE,LDC_SST_GFDL_SPEAR_FOUR
8.5,0000 1 Sep 1993,26.38278,22.4355,25.39764,27.63981
9.5,0000 1 Sep 1993,26.05454,21.06951,24.68421,27.55695
10.5,0000 1 Sep 1993,25.55974,20.19882,23.99111,27.3349
1.5,0000 1 Oct 1993,26.34652,21.76685,24.85613,28.1759
2.5,0000 1 Oct 1993,25.89276,22.70829,24.71843,27.70482
3.5,0000 1 Oct 1993,25.51628,23.93909,24.77168,27.23378
4.5,0000 1 Oct 1993,25.49258,24.9829,25.10457,27.0234
5.5,0000 1 Oct 1993,25.83305,24.90496,25.48359,27.15916
6.5,0000 1 Oct 1993,26.18419,23.79883,25.55176,27.41652
7.5,0000 1 Oct 1993,26.2605,22.30169,25.23667,27.55453
8.5,0000 1 Oct 1993,25.96401,21.1434,24.60947,27.46507
9.5,0000 1 Oct 1993,25.52366,20.27933,23.96854,27.26849
10.5,0000 1 Oct 1993,25.17062,19.72466,23.56027,27.09015
1.5,0000 1 Nov 1993,26.12691,23.33801,25.10029,27.85699
2.5,0000 1 Nov 1993,25.68772,24.47097,25.05883,27.32282
3.5,0000 1 Nov 1993,25.51642,25.34718,25.16382,27.04131
4.5,0000 1 Nov 1993,25.72243,25.15141,25.39416,27.08662
5.5,0000 1 Nov 1993,25.99447,23.81151,25.37808,27.27565
6.5,0000 1 Nov 1993,26.08461,22.09713,25.0337,27.39995
7.5,0000 1 Nov 1993,25.78337,20.72082,24.30431,27.30999
8.5,0000 1 Nov 1993,25.28846,19.90047,23.63499,27.08983
9.5,0000 1 Nov 1993,24.89597,19.41065,23.22614,26.89008
10.5,0000 1 Nov 1993,24.68826,19.35021,23.12364,26.7522
1.5,0000 1 Dec 1993,26.05641,24.27733,25.32002,27.69863
2.5,0000 1 Dec 1993,25.99378,25.29694,25.54758,27.43604
3.5,0000 1 Dec 1993,26.23678,25.21144,25.85508,27.46119
4.5,0000 1 Dec 1993,26.46738,23.97464,25.7974,27.59377
5.5,0000 1 Dec 1993,26.444,22.32327,25.40383,27.63427
6.5,0000 1 Dec 1993,26.02078,20.95029,24.58368,27.49085
7.5,0000 1 Dec 1993,25.44115,20.08479,23.82866,27.20823
8.5,0000 1 Dec 1993,24.99557,19.50686,23.34151,26.9604
9.5,0000 1 Dec 1993,24.79109,19.3907,23.2018,26.80103
10.5,0000 1 Dec 1993,24.70435,19.74491,23.25166,26.66123
1.5,0000 1 Jan 1994,26.11248,25.27961,25.56475,27.62763
2.5,0000 1 Jan 1994,26.35713,25.14495,25.90971,27.53802
3.5,0000 1 Jan 1994,26.61267,23.89733,25.86268,27.67184
4.5,0000 1 Jan 1994,26.56823,22.22978,25.40598,27.75345
5.5,0000 1 Jan 1994,26.19562,20.87466,24.65169,27.65925
6.5,0000 1 Jan 1994,25.71764,20.01127,23.99973,27.44883
7.5,0000 1 Jan 1994,25.3302,19.55581,23.57254,27.25153
8.5,0000 1 Jan 1994,25.12062,19.53662,23.45267,27.13479
9.5,0000 1 Jan 1994,25.03392,19.94302,23.50957,27.04568
10.5,0000 1 Jan 1994,24.91559,20.73933,23.57045,26.87087
1.5,0000 1 Feb 1994,27.0079,25.7207,26.5642,28.08969
2.5,0000 1 Feb 1994,27.23467,24.61094,26.52455,28.21234
3.5,0000 1 Feb 1994,27.18261,23.05506,26.13333,28.26942
4.5,0000 1 Feb 1994,26.72491,21.65985,25.30451,28.14016
5.5,0000 1 Feb 1994,26.11631,20.60893,24.49519,27.85188
6.5,0000 1 Feb 1994,25.61918,19.9479,23.95919,27.53867
7.5,0000 1 Feb 1994,25.39956,19.76931,23.77717,27.36088
8.5,0000 1 Feb 1994,25.34403,20.07283,23.81575,27.2656
9.5,0000 1 Feb 1994,25.23088,20.82456,23.84204,27.11918
10.5,0000 1 Feb 1994,25.01825,22.05677,23.9311,26.85388
