M,L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2
16,5.5,4,9,ASO,26.530600666666665,1.127816644758162
17,5.5,4,9,ASO,26.461600999999998,1.1177134278851726
18,5.5,4,9,ASO,26.43677166666667,1.3861069424074712
19,5.5,4,9,ASO,26.353916333333334,1.183834011548161
20,5.5,4,9,ASO,26.548361333333332,0.9882132746533325
21,5.5,4,9,ASO,26.401145,1.2333132607637953
22,5.5,4,9,ASO,26.21375,1.2433511673862048
23,5.5,4,9,ASO,26.325957000000002,1.2705612119941396
24,5.5,4,9,ASO,26.44074,1.368809198662069
1,5.5,5,10,SON,26.290493,2.0870238271458623
2,5.5,5,10,SON,26.342610999999998,1.8786386551334497
3,5.5,5,10,SON,26.259153666666666,1.8135031424791934
4,5.5,5,10,SON,26.232302,1.9711919753337948
5,5.5,5,10,SON,26.076933,1.5509852602975862
6,5.5,5,10,SON,26.148716999999998,2.0119346502700015
7,5.5,5,10,SON,26.061870333333335,1.2166799196240246
8,5.5,5,10,SON,26.314631333333335,1.4584231861016077
9,5.5,5,10,SON,25.939517333333335,1.2565821619512654
10,5.5,5,10,SON,26.005231666666667,1.341265404931608
11,5.5,5,10,SON,25.974335666666665,1.5946263028943688
12,5.5,5,10,SON,26.012272,1.1137756432096544
13,5.5,5,10,SON,25.727404333333332,1.6720351190943707
14,5.5,5,10,SON,25.785953666666668,1.6311632459895409
15,5.5,5,10,SON,25.841351333333332,1.3452596421360936
16,5.5,5,10,SON,25.792908,1.4466711321475862
17,5.5,5,10,SON,25.77366933333333,1.4143972871098869
18,5.5,5,10,SON,25.634694333333336,1.900020555239194
19,5.5,5,10,SON,25.717882999999997,1.886131601814827
20,5.5,5,10,SON,25.648095,1.7006122893293072
21,5.5,5,10,SON,25.656886999999998,1.574608174628623
22,5.5,5,10,SON,25.58247833333333,1.5220711172764372
23,5.5,5,10,SON,25.714139666666664,1.5090231821895388
24,5.5,5,10,SON,25.617388000000002,1.487855284057929
1,5.5,6,11,OND,25.881054,1.6378143043489644
2,5.5,6,11,OND,25.784416333333336,1.8425227943343707
3,5.5,6,11,OND,25.706256333333332,1.705287806679193
