L,MON,LDC_SST_CanESM5,LDC_SST_CanESM5_ONETWO,LDC_SST_CanESM5_THREE,LDC_SST_CanESM5_FOUR
5.5,0000 1 Oct 1992,300.1729,300.0659,299.9829,301.553
6.5,0000 1 Oct 1992,300.7782,299.8382,300.3772,301.9303
7.5,0000 1 Oct 1992,301.0934,298.9894,300.2472,302.2553
8.5,0000 1 Oct 1992,300.9629,297.9438,299.7086,302.3248
9.5,0000 1 Oct 1992,300.612,297.1278,299.1312,302.2384
10.5,0000 1 Oct 1992,300.2919,296.6608,298.7518,302.1774
1.5,0000 1 Nov 1992,299.5918,297.0626,298.4042,301.7142
2.5,0000 1 Nov 1992,299.5585,298.3316,298.7367,301.5041
3.5,0000 1 Nov 1992,299.7697,299.4195,299.3194,301.4325
4.5,0000 1 Nov 1992,300.2932,300.0133,300.0116,301.6325
5.5,0000 1 Nov 1992,300.8467,299.7267,300.3486,302.0112
6.5,0000 1 Nov 1992,301.1385,298.8481,300.206,302.3212
7.5,0000 1 Nov 1992,301.0443,297.7804,299.6846,302.4132
8.5,0000 1 Nov 1992,300.7427,296.997,299.1591,302.3414
9.5,0000 1 Nov 1992,300.4714,296.5688,298.8165,302.3102
10.5,0000 1 Nov 1992,300.3783,296.5391,298.7164,302.383
1.5,0000 1 Dec 1992,299.7888,298.0541,298.7932,301.7144
2.5,0000 1 Dec 1992,299.9146,299.2898,299.3428,301.6139
3.5,0000 1 Dec 1992,300.2796,299.8596,299.8779,301.7184
4.5,0000 1 Dec 1992,300.6642,299.5216,300.1021,301.9409
5.5,0000 1 Dec 1992,300.7996,298.5813,299.8626,302.1008
6.5,0000 1 Dec 1992,300.6452,297.484,299.3208,302.141
7.5,0000 1 Dec 1992,300.3617,296.6383,298.7734,302.1201
8.5,0000 1 Dec 1992,300.1047,296.131,298.3966,302.1316
9.5,0000 1 Dec 1992,299.9872,296.0761,298.2898,302.1881
10.5,0000 1 Dec 1992,299.9642,296.4491,298.3805,302.2141
1.5,0000 1 Jan 1993,300.1326,299.3611,299.4949,301.7399
2.5,0000 1 Jan 1993,300.5074,300.1053,300.1265,301.8377
3.5,0000 1 Jan 1993,300.8851,299.7684,300.3505,302.0378
4.5,0000 1 Jan 1993,301.0234,298.7515,300.0874,302.2256
5.5,0000 1 Jan 1993,300.8402,297.541,299.4597,302.2815
6.5,0000 1 Jan 1993,300.4951,296.6525,298.8507,302.2249
7.5,0000 1 Jan 1993,300.1913,296.1489,298.4416,302.2042
8.5,0000 1 Jan 1993,300.0504,296.0809,298.3104,302.2521
9.5,0000 1 Jan 1993,300.0317,296.4193,298.3889,302.2912
10.5,0000 1 Jan 1993,299.9706,297.0495,298.532,302.1765
1.5,0000 1 Feb 1993,300.9574,300.5746,300.6381,301.9926
2.5,0000 1 Feb 1993,301.3867,300.3751,300.9294,302.2378
3.5,0000 1 Feb 1993,301.4987,299.5217,300.6885,302.4352
4.5,0000 1 Feb 1993,301.2148,298.2969,299.9618,302.458
5.5,0000 1 Feb 1993,300.7418,297.2652,299.1674,302.3807
6.5,0000 1 Feb 1993,300.3287,296.5965,298.604,302.3278
7.5,0000 1 Feb 1993,300.1018,296.4184,298.418,302.3232
8.5,0000 1 Feb 1993,300.0112,296.6327,298.4498,302.2925
9.5,0000 1 Feb 1993,299.882,297.1855,298.529,302.1164
