L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR,MEAN_SST_GFDL_SPEAR_ONETWO,VAR_SST_GFDL_SPEAR_ONETWO,MEAN_SST_GFDL_SPEAR_THREE,VAR_SST_GFDL_SPEAR_THREE,MEAN_SST_GFDL_SPEAR_FOUR,VAR_SST_GFDL_SPEAR_FOUR
5.5,11,4,MAM,27.367876333333335,0.4331080506067815,25.416329,0.2958401634506905,26.988369,0.3989433680368967,28.309606666666664,0.2495395821954027
5.5,12,5,AMJ,27.504710666666664,0.27282786847015345,24.188309333333333,0.5202786489305756,26.753916666666665,0.2787802168505758,28.50453866666667,0.1673413596395408
6.5,1,7,JJA,26.677318,0.3311419304813174,21.996815333333338,0.6446602218464368,25.321516999999997,0.2747518663458623,28.279052666666665,0.1963107843236784
6.5,2,8,JAS,26.230352333333332,0.47506027018478164,21.277862333333335,0.6895171986874713,24.773601666666664,0.3351875183660918,28.031607,0.3328650871734478
6.5,3,9,ASO,26.128821,0.5204260590857318,21.116909,0.7792181774093094,24.680753,0.4059271045320675,28.006096666666668,0.3695460954919538
6.5,4,10,SON,26.221513666666667,0.7143836802128815,21.257084333333335,0.6737084750943676,24.800261,0.5202040279472424,28.05496,0.5174111498758626
6.5,5,11,OND,26.252075,1.1054406598426971,21.900765333333332,0.6770011171154032,24.889270333333332,0.7807937379412642,28.06392333333333,0.7924430252229883
6.5,6,12,NDJ,26.061847,1.293509355268077,23.033160333333335,0.5015470464378159,24.950937,0.885533533187241,27.810326,0.9178274808937936
6.5,7,1,DJF,26.080958666666668,1.241750774627693,24.574397666666663,0.324494192066781,25.364875,0.8458012625017269,27.69605466666667,0.9667118785016084
6.5,8,2,JFM,26.360813666666665,0.9368469316731092,25.908632,0.3093502940441378,26.02088266666667,0.7799032138754024,27.768046333333334,0.6408006726033347
6.5,9,3,FMA,26.86730833333333,0.5887924252103824,26.227508,0.1760231452165526,26.690545333333333,0.4693911394740227,27.981684333333337,0.3941334099219558
6.5,10,4,MAM,27.320787666666668,0.4211869928773104,25.39194033333333,0.3057224662585067,26.944781,0.3706404802575891,28.278202333333333,0.2640556710598844
6.5,11,5,AMJ,27.476937333333336,0.36146809534603036,24.045300666666662,0.4062075706685056,26.694722666666667,0.3194145600409196,28.499644666666665,0.2140318497774715
6.5,12,6,MJJ,27.13952,0.2939503755409198,22.837048666666664,0.4701571834602285,25.989793,0.2495274455803457,28.447158333333338,0.178572826966092
7.5,1,8,JAS,26.245908333333333,0.40513092441850557,21.256677000000003,0.625823705159657,24.785975,0.2979570714465527,28.052036666666663,0.2377612168919537
