L,START,TARGET,SZN,MEAN_SST_CanSIPS_IC4,VAR_SST_CanSIPS_IC4,MEAN_SST_CanSIPS_IC4_ONETWO,VAR_SST_CanSIPS_IC4_ONETWO,MEAN_SST_CanSIPS_IC4_THREE,VAR_SST_CanSIPS_IC4_THREE,MEAN_SST_CanSIPS_IC4_FOUR,VAR_SST_CanSIPS_IC4_FOUR
7.5,10,5,AMJ,26.63135000000002,0.5246293084847712,25.05045333333336,0.1656644984367835,26.018123333333357,0.2693225121954058,27.85010333333336,0.2598272417126415
7.5,11,6,MJJ,26.33131000000002,0.490706503991955,23.766183333333355,0.1522750228160964,25.27466333333335,0.2224979748160938,27.79237666666669,0.2562934542643654
7.5,12,7,JJA,25.975973333333354,0.43007078889454037,22.951970000000028,0.1560755456206883,24.691860000000027,0.1960851948965457,27.67632666666669,0.2140474116781645
8.5,1,9,ASO,25.462096666666692,0.35556723523534456,22.44065333333335,0.1692344467126449,24.27165333333336,0.1621629329195391,27.42146000000002,0.1424847431724144
8.5,2,10,SON,25.451220000000028,0.47307412623994216,22.862220000000026,0.1679440182068968,24.420690000000025,0.1966046133448254,27.406003333333356,0.2276836230919534
8.5,3,11,OND,25.515900000000023,0.6130201397706877,23.51634333333336,0.1735593901264358,24.63557333333336,0.2734989689195341,27.43794333333335,0.3001858984023005
8.5,4,12,NDJ,25.57675666666669,0.6454764853201138,24.385990000000017,0.1457222181724131,24.917710000000024,0.3223093312758566,27.399980000000024,0.3405391602758603
8.5,5,1,DJF,25.786253333333363,0.7699338352350585,25.429633333333353,0.1446557891954036,25.40668000000003,0.4386489526896596,27.384786666666688,0.431603849471259
8.5,6,2,JFM,26.11601333333336,0.7331842042908043,26.375820000000022,0.1243395485517253,25.987153333333353,0.3965148129195383,27.414153333333356,0.4458067136091939
8.5,7,3,FMA,26.597263333333352,0.7581952504591964,26.867603333333356,0.1580555810229869,26.567310000000024,0.4375595285172446,27.66730333333335,0.4317686286092003
8.5,8,4,MAM,26.762313333333353,0.6252240617284486,26.38422000000002,0.155763091310342,26.58841000000002,0.3589789333448273,27.78284666666669,0.325280151540227
8.5,9,5,AMJ,26.70912666666669,0.4766993828910916,25.20116000000002,0.1697161762758627,26.129313333333357,0.2347040763678152,27.86541333333335,0.2414083039540277
8.5,10,6,MJJ,26.37972000000002,0.44385380662040214,23.83737000000002,0.1515078028620745,25.339676666666687,0.2216917777126385,27.807376666666688,0.2157596694367818
8.5,11,7,JJA,25.93223000000002,0.43918521828821844,22.925720000000016,0.1298583899310333,24.655033333333353,0.1820693229885011,27.615846666666684,0.2152511508505777
8.5,12,8,JAS,25.61720000000002,0.3926572175198283,22.49970333333335,0.148198374126436,24.332983333333356,0.1613795021264392,27.484530000000024,0.181897702172413
