L,MON,LDC_SST_GEM5_NEMO
10.5,0000 1 Sep 1993,296.4385
1.5,0000 1 Oct 1993,299.3924
2.5,0000 1 Oct 1993,298.8933
3.5,0000 1 Oct 1993,298.4683
4.5,0000 1 Oct 1993,298.1526
5.5,0000 1 Oct 1993,297.9984
6.5,0000 1 Oct 1993,297.8091
7.5,0000 1 Oct 1993,297.5979
8.5,0000 1 Oct 1993,297.157
9.5,0000 1 Oct 1993,296.6793
10.5,0000 1 Oct 1993,296.2456
1.5,0000 1 Nov 1993,298.9002
2.5,0000 1 Nov 1993,298.2159
3.5,0000 1 Nov 1993,297.7569
4.5,0000 1 Nov 1993,297.4356
5.5,0000 1 Nov 1993,297.2075
6.5,0000 1 Nov 1993,296.9487
7.5,0000 1 Nov 1993,296.5459
8.5,0000 1 Nov 1993,296.0593
9.5,0000 1 Nov 1993,295.7131
10.5,0000 1 Nov 1993,295.6004
1.5,0000 1 Dec 1993,298.7116
2.5,0000 1 Dec 1993,298.1476
3.5,0000 1 Dec 1993,297.862
4.5,0000 1 Dec 1993,297.6088
5.5,0000 1 Dec 1993,297.3024
6.5,0000 1 Dec 1993,296.8208
7.5,0000 1 Dec 1993,296.3247
8.5,0000 1 Dec 1993,295.945
9.5,0000 1 Dec 1993,295.8086
10.5,0000 1 Dec 1993,295.773
1.5,0000 1 Jan 1994,298.6577
2.5,0000 1 Jan 1994,298.2893
3.5,0000 1 Jan 1994,298.0686
4.5,0000 1 Jan 1994,297.8186
5.5,0000 1 Jan 1994,297.3943
6.5,0000 1 Jan 1994,296.9398
7.5,0000 1 Jan 1994,296.5641
8.5,0000 1 Jan 1994,296.353
9.5,0000 1 Jan 1994,296.271
10.5,0000 1 Jan 1994,296.2523
1.5,0000 1 Feb 1994,298.8801
2.5,0000 1 Feb 1994,298.3932
3.5,0000 1 Feb 1994,297.9447
4.5,0000 1 Feb 1994,297.399
5.5,0000 1 Feb 1994,296.8676
6.5,0000 1 Feb 1994,296.4375
7.5,0000 1 Feb 1994,296.2265
8.5,0000 1 Feb 1994,296.148
9.5,0000 1 Feb 1994,296.1447
10.5,0000 1 Feb 1994,296.1821
1.5,0000 1 Mar 1994,299.2666
2.5,0000 1 Mar 1994,298.7376
3.5,0000 1 Mar 1994,298.1535
4.5,0000 1 Mar 1994,297.5931
5.5,0000 1 Mar 1994,297.1372
6.5,0000 1 Mar 1994,296.9363
7.5,0000 1 Mar 1994,296.8925
8.5,0000 1 Mar 1994,296.871
9.5,0000 1 Mar 1994,296.87
10.5,0000 1 Mar 1994,296.8978
1.5,0000 1 Apr 1994,299.5932
2.5,0000 1 Apr 1994,298.7836
3.5,0000 1 Apr 1994,298.0015
4.5,0000 1 Apr 1994,297.4173
5.5,0000 1 Apr 1994,297.2193
6.5,0000 1 Apr 1994,297.2328
7.5,0000 1 Apr 1994,297.2213
8.5,0000 1 Apr 1994,297.1902
9.5,0000 1 Apr 1994,297.1707
10.5,0000 1 Apr 1994,297.2675
1.5,0000 1 May 1994,299.5977
2.5,0000 1 May 1994,298.685
3.5,0000 1 May 1994,297.9889
4.5,0000 1 May 1994,297.6969
5.5,0000 1 May 1994,297.7163
6.5,0000 1 May 1994,297.7584
7.5,0000 1 May 1994,297.6938
8.5,0000 1 May 1994,297.6128
9.5,0000 1 May 1994,297.6053
10.5,0000 1 May 1994,297.6705
1.5,0000 1 Jun 1994,299.2177
2.5,0000 1 Jun 1994,298.3992
3.5,0000 1 Jun 1994,298.07
4.5,0000 1 Jun 1994,298.0538
5.5,0000 1 Jun 1994,298.0952
6.5,0000 1 Jun 1994,298.066
7.5,0000 1 Jun 1994,298.0229
8.5,0000 1 Jun 1994,298.054
9.5,0000 1 Jun 1994,298.163
10.5,0000 1 Jun 1994,298.161
1.5,0000 1 Jul 1994,299.0428
2.5,0000 1 Jul 1994,298.7189
3.5,0000 1 Jul 1994,298.7994
4.5,0000 1 Jul 1994,298.9096
5.5,0000 1 Jul 1994,298.9027
6.5,0000 1 Jul 1994,298.8099
7.5,0000 1 Jul 1994,298.7042
8.5,0000 1 Jul 1994,298.6385
9.5,0000 1 Jul 1994,298.5208
10.5,0000 1 Jul 1994,298.2389
1.5,0000 1 Aug 1994,298.904
2.5,0000 1 Aug 1994,298.5459
3.5,0000 1 Aug 1994,298.5148
4.5,0000 1 Aug 1994,298.4595
5.5,0000 1 Aug 1994,298.3322
6.5,0000 1 Aug 1994,298.2508
7.5,0000 1 Aug 1994,298.2657
8.5,0000 1 Aug 1994,298.2585
9.5,0000 1 Aug 1994,298.1207
10.5,0000 1 Aug 1994,297.7036
1.5,0000 1 Sep 1994,299.5252
2.5,0000 1 Sep 1994,299.3633
3.5,0000 1 Sep 1994,299.2831
4.5,0000 1 Sep 1994,299.129
5.5,0000 1 Sep 1994,298.9446
6.5,0000 1 Sep 1994,298.7284
7.5,0000 1 Sep 1994,298.3896
8.5,0000 1 Sep 1994,297.9469
9.5,0000 1 Sep 1994,297.3045
10.5,0000 1 Sep 1994,296.6967
1.5,0000 1 Oct 1994,299.8937
2.5,0000 1 Oct 1994,299.593
3.5,0000 1 Oct 1994,299.266
4.5,0000 1 Oct 1994,298.8961
5.5,0000 1 Oct 1994,298.639
6.5,0000 1 Oct 1994,298.3891
7.5,0000 1 Oct 1994,298.0683
8.5,0000 1 Oct 1994,297.4709
9.5,0000 1 Oct 1994,296.8099
10.5,0000 1 Oct 1994,296.2715
1.5,0000 1 Nov 1994,300.3089
2.5,0000 1 Nov 1994,299.8614
3.5,0000 1 Nov 1994,299.4266
4.5,0000 1 Nov 1994,299.037
5.5,0000 1 Nov 1994,298.7303
6.5,0000 1 Nov 1994,298.3375
7.5,0000 1 Nov 1994,297.7686
8.5,0000 1 Nov 1994,297.0877
9.5,0000 1 Nov 1994,296.5659
10.5,0000 1 Nov 1994,296.2731
1.5,0000 1 Dec 1994,300.2926
2.5,0000 1 Dec 1994,299.9357
3.5,0000 1 Dec 1994,299.5999
4.5,0000 1 Dec 1994,299.2516
5.5,0000 1 Dec 1994,298.7215
6.5,0000 1 Dec 1994,297.9551
7.5,0000 1 Dec 1994,297.162
8.5,0000 1 Dec 1994,296.6016
9.5,0000 1 Dec 1994,296.3344
10.5,0000 1 Dec 1994,296.2014
1.5,0000 1 Jan 1995,299.7891
2.5,0000 1 Jan 1995,299.432
3.5,0000 1 Jan 1995,299.1124
4.5,0000 1 Jan 1995,298.637
5.5,0000 1 Jan 1995,297.9296
6.5,0000 1 Jan 1995,297.1716
7.5,0000 1 Jan 1995,296.6081
8.5,0000 1 Jan 1995,296.3375
9.5,0000 1 Jan 1995,296.2371
10.5,0000 1 Jan 1995,296.15
1.5,0000 1 Feb 1995,299.9588
2.5,0000 1 Feb 1995,299.5219
3.5,0000 1 Feb 1995,298.9897
4.5,0000 1 Feb 1995,298.259
5.5,0000 1 Feb 1995,297.4558
6.5,0000 1 Feb 1995,296.8353
7.5,0000 1 Feb 1995,296.5527
8.5,0000 1 Feb 1995,296.4525
9.5,0000 1 Feb 1995,296.3624
10.5,0000 1 Feb 1995,296.2773
1.5,0000 1 Mar 1995,299.8111
2.5,0000 1 Mar 1995,299.349
3.5,0000 1 Mar 1995,298.6651
4.5,0000 1 Mar 1995,297.8743
5.5,0000 1 Mar 1995,297.2585
6.5,0000 1 Mar 1995,296.9607
7.5,0000 1 Mar 1995,296.8345
8.5,0000 1 Mar 1995,296.7467
9.5,0000 1 Mar 1995,296.6474
10.5,0000 1 Mar 1995,296.6107
1.5,0000 1 Apr 1995,299.5821
2.5,0000 1 Apr 1995,298.6854
3.5,0000 1 Apr 1995,297.8976
4.5,0000 1 Apr 1995,297.2622
5.5,0000 1 Apr 1995,296.9881
6.5,0000 1 Apr 1995,296.9017
7.5,0000 1 Apr 1995,296.8359
8.5,0000 1 Apr 1995,296.7556
