L,MON,LDC_SST_GEM52_NEMO,LDC_SST_GEM52_NEMO_ONETWO,LDC_SST_GEM52_NEMO_THREE,LDC_SST_GEM52_NEMO_FOUR
5.5,0000 1 Dec 1992,298.8368,296.9482,299.8626,300.0312
6.5,0000 1 Dec 1992,298.4462,295.8073,299.3208,299.8282
7.5,0000 1 Dec 1992,297.8896,294.9903,298.7734,299.5258
8.5,0000 1 Dec 1992,297.3263,294.5603,298.3966,299.1646
9.5,0000 1 Dec 1992,296.9339,294.4387,298.2898,298.8198
10.5,0000 1 Dec 1992,296.6819,294.756,298.3805,298.5145
1.5,0000 1 Jan 1993,299.5157,298.9169,299.4949,301.1705
2.5,0000 1 Jan 1993,299.4922,299.3609,300.1265,300.8702
3.5,0000 1 Jan 1993,299.5121,298.686,300.3505,300.7096
4.5,0000 1 Jan 1993,299.3461,297.4133,300.0874,300.5794
5.5,0000 1 Jan 1993,298.8321,296.0905,299.4597,300.3301
6.5,0000 1 Jan 1993,298.1231,295.27,298.8507,299.9341
7.5,0000 1 Jan 1993,297.4698,294.8861,298.4416,299.4933
8.5,0000 1 Jan 1993,297.0758,294.826,298.3104,299.105
9.5,0000 1 Jan 1993,296.8736,295.0986,298.3889,298.8273
10.5,0000 1 Jan 1993,296.748,295.518,298.532,298.6289
1.5,0000 1 Feb 1993,299.954,299.494,300.6381,301.3925
2.5,0000 1 Feb 1993,300.0005,298.8766,300.9294,301.2751
3.5,0000 1 Feb 1993,299.8859,297.7383,300.6885,301.1461
4.5,0000 1 Feb 1993,299.3902,296.5457,299.9618,300.8755
5.5,0000 1 Feb 1993,298.6465,295.7689,299.1674,300.4344
6.5,0000 1 Feb 1993,297.9319,295.3466,298.604,299.9399
7.5,0000 1 Feb 1993,297.475,295.2122,298.418,299.5088
8.5,0000 1 Feb 1993,297.2144,295.3587,298.4498,299.176
9.5,0000 1 Feb 1993,297.0175,295.6894,298.529,298.9018
10.5,0000 1 Feb 1993,296.86,296.2652,298.6568,298.6632
1.5,0000 1 Mar 1993,300.5397,299.0302,301.1167,301.649
2.5,0000 1 Mar 1993,300.3253,297.943,300.8411,301.4999
3.5,0000 1 Mar 1993,299.6779,296.8409,300.0716,301.1154
4.5,0000 1 Mar 1993,298.8018,295.9778,299.2617,300.5622
5.5,0000 1 Mar 1993,298.0395,295.4785,298.6534,300.0199
6.5,0000 1 Mar 1993,297.5668,295.2863,298.3869,299.584
7.5,0000 1 Mar 1993,297.2969,295.4541,298.3682,299.2388
8.5,0000 1 Mar 1993,297.0229,295.7911,298.4111,298.9046
9.5,0000 1 Mar 1993,296.7976,296.3774,298.5041,298.5872
10.5,0000 1 Mar 1993,296.7246,297.1701,298.7288,298.3037
1.5,0000 1 Apr 1993,300.8799,298.39,300.9724,301.8479
2.5,0000 1 Apr 1993,300.1311,297.3787,300.0921,301.5047
3.5,0000 1 Apr 1993,299.1737,296.4228,299.1364,300.932
4.5,0000 1 Apr 1993,298.3301,295.7275,298.4748,300.3208
5.5,0000 1 Apr 1993,297.8223,295.4037,298.1951,299.8465
6.5,0000 1 Apr 1993,297.5126,295.507,298.1753,299.4757
7.5,0000 1 Apr 1993,297.2129,295.8298,298.2218,299.1222
8.5,0000 1 Apr 1993,296.974,296.4085,298.347,298.755
9.5,0000 1 Apr 1993,296.8893,297.195,298.6888,298.4093
10.5,0000 1 Apr 1993,297.012,297.9673,299.2378,298.1877
1.5,0000 1 May 1993,300.403,297.5446,300.2382,301.6976
2.5,0000 1 May 1993,299.4346,296.6735,299.3506,301.1603
3.5,0000 1 May 1993,298.6046,296.0468,298.726,300.5645
4.5,0000 1 May 1993,298.1278,295.8705,298.4861,300.1234
5.5,0000 1 May 1993,297.9194,296.0525,298.4773,299.8295
6.5,0000 1 May 1993,297.7306,296.383,298.471,299.5755
7.5,0000 1 May 1993,297.5518,296.8518,298.5196,299.2958
8.5,0000 1 May 1993,297.4717,297.512,298.7705,299.0029
9.5,0000 1 May 1993,297.5064,298.1234,299.3145,298.7636
10.5,0000 1 May 1993,297.5748,298.2578,299.958,298.6495
1.5,0000 1 Jun 1993,299.6431,296.6558,299.4112,301.468
2.5,0000 1 Jun 1993,298.732,296.0772,298.7705,300.9292
3.5,0000 1 Jun 1993,298.2026,295.8038,298.5259,300.4293
4.5,0000 1 Jun 1993,297.9798,295.9438,298.5336,300.0948
5.5,0000 1 Jun 1993,297.8359,296.2878,298.6213,299.8287
6.5,0000 1 Jun 1993,297.6975,296.8483,298.7425,299.5596
7.5,0000 1 Jun 1993,297.6304,297.5835,299.0269,299.2551
8.5,0000 1 Jun 1993,297.6588,298.2677,299.4735,299.004
9.5,0000 1 Jun 1993,297.7379,298.4019,300.0491,298.8706
10.5,0000 1 Jun 1993,297.7037,297.5161,300.263,298.8475
