M,L,MON,LDC_SST_COLA_CESM1
2,8.5,0000 1 May 1991,25.59073
3,8.5,0000 1 May 1991,26.27283
4,8.5,0000 1 May 1991,25.61094
5,8.5,0000 1 May 1991,26.00899
6,8.5,0000 1 May 1991,25.45341
7,8.5,0000 1 May 1991,25.64161
8,8.5,0000 1 May 1991,24.63401
9,8.5,0000 1 May 1991,25.40969
10,8.5,0000 1 May 1991,24.82851
1,9.5,0000 1 May 1991,25.54573
2,9.5,0000 1 May 1991,25.89313
3,9.5,0000 1 May 1991,26.55799
4,9.5,0000 1 May 1991,26.04168
5,9.5,0000 1 May 1991,26.18992
6,9.5,0000 1 May 1991,25.64251
7,9.5,0000 1 May 1991,25.98347
8,9.5,0000 1 May 1991,24.90598
9,9.5,0000 1 May 1991,25.79212
10,9.5,0000 1 May 1991,25.16778
1,10.5,0000 1 May 1991,26.14059
2,10.5,0000 1 May 1991,26.40353
3,10.5,0000 1 May 1991,27.01941
4,10.5,0000 1 May 1991,26.73845
5,10.5,0000 1 May 1991,26.56837
6,10.5,0000 1 May 1991,26.06559
7,10.5,0000 1 May 1991,26.49662
8,10.5,0000 1 May 1991,25.43427
9,10.5,0000 1 May 1991,26.321
10,10.5,0000 1 May 1991,25.71025
1,1.5,0000 1 Jun 1991,27.21678
2,1.5,0000 1 Jun 1991,27.16131
3,1.5,0000 1 Jun 1991,27.01133
4,1.5,0000 1 Jun 1991,27.28525
5,1.5,0000 1 Jun 1991,27.25221
6,1.5,0000 1 Jun 1991,27.11937
7,1.5,0000 1 Jun 1991,27.26137
8,1.5,0000 1 Jun 1991,27.39215
9,1.5,0000 1 Jun 1991,27.22253
10,1.5,0000 1 Jun 1991,27.18563
1,2.5,0000 1 Jun 1991,26.53757
2,2.5,0000 1 Jun 1991,26.31213
3,2.5,0000 1 Jun 1991,26.06076
4,2.5,0000 1 Jun 1991,26.5139
5,2.5,0000 1 Jun 1991,26.52998
6,2.5,0000 1 Jun 1991,26.15408
7,2.5,0000 1 Jun 1991,26.46462
8,2.5,0000 1 Jun 1991,26.8539
9,2.5,0000 1 Jun 1991,26.42119
10,2.5,0000 1 Jun 1991,26.43185
1,3.5,0000 1 Jun 1991,26.20404
2,3.5,0000 1 Jun 1991,25.61705
3,3.5,0000 1 Jun 1991,25.42202
4,3.5,0000 1 Jun 1991,25.915
5,3.5,0000 1 Jun 1991,26.03155
6,3.5,0000 1 Jun 1991,25.52557
7,3.5,0000 1 Jun 1991,25.82649
8,3.5,0000 1 Jun 1991,26.50953
9,3.5,0000 1 Jun 1991,25.72788
10,3.5,0000 1 Jun 1991,25.96595
1,4.5,0000 1 Jun 1991,26.41868
2,4.5,0000 1 Jun 1991,25.4304
3,4.5,0000 1 Jun 1991,25.31469
4,4.5,0000 1 Jun 1991,25.74143
5,4.5,0000 1 Jun 1991,26.00704
6,4.5,0000 1 Jun 1991,25.52076
7,4.5,0000 1 Jun 1991,25.67445
8,4.5,0000 1 Jun 1991,26.51303
9,4.5,0000 1 Jun 1991,25.57102
10,4.5,0000 1 Jun 1991,26.03096
1,5.5,0000 1 Jun 1991,26.85649
2,5.5,0000 1 Jun 1991,25.52625
3,5.5,0000 1 Jun 1991,25.5385
4,5.5,0000 1 Jun 1991,25.93236
5,5.5,0000 1 Jun 1991,26.17551
6,5.5,0000 1 Jun 1991,25.82828
7,5.5,0000 1 Jun 1991,25.85075
8,5.5,0000 1 Jun 1991,26.6553
9,5.5,0000 1 Jun 1991,25.67704
10,5.5,0000 1 Jun 1991,26.30678
1,6.5,0000 1 Jun 1991,27.22965
2,6.5,0000 1 Jun 1991,25.69775
3,6.5,0000 1 Jun 1991,25.90818
4,6.5,0000 1 Jun 1991,26.2178
5,6.5,0000 1 Jun 1991,26.29171
6,6.5,0000 1 Jun 1991,26.03429
7,6.5,0000 1 Jun 1991,26.09576
8,6.5,0000 1 Jun 1991,26.83951
9,6.5,0000 1 Jun 1991,25.97591
10,6.5,0000 1 Jun 1991,26.59419
1,7.5,0000 1 Jun 1991,27.56174
2,7.5,0000 1 Jun 1991,25.82465
3,7.5,0000 1 Jun 1991,26.17398
4,7.5,0000 1 Jun 1991,26.46182
5,7.5,0000 1 Jun 1991,26.35565
6,7.5,0000 1 Jun 1991,26.11906
7,7.5,0000 1 Jun 1991,26.25557
8,7.5,0000 1 Jun 1991,27.05631
9,7.5,0000 1 Jun 1991,26.21294
10,7.5,0000 1 Jun 1991,26.86787
1,8.5,0000 1 Jun 1991,27.85703
2,8.5,0000 1 Jun 1991,26.04097
3,8.5,0000 1 Jun 1991,26.51201
4,8.5,0000 1 Jun 1991,26.83998
5,8.5,0000 1 Jun 1991,26.37799
6,8.5,0000 1 Jun 1991,26.31486
7,8.5,0000 1 Jun 1991,26.46422
8,8.5,0000 1 Jun 1991,27.38629
9,8.5,0000 1 Jun 1991,26.66662
10,8.5,0000 1 Jun 1991,27.15315
1,9.5,0000 1 Jun 1991,28.09684
2,9.5,0000 1 Jun 1991,26.42525
3,9.5,0000 1 Jun 1991,26.9007
4,9.5,0000 1 Jun 1991,27.40663
5,9.5,0000 1 Jun 1991,26.5705
6,9.5,0000 1 Jun 1991,26.73981
7,9.5,0000 1 Jun 1991,26.85014
8,9.5,0000 1 Jun 1991,27.78691
9,9.5,0000 1 Jun 1991,27.2697
10,9.5,0000 1 Jun 1991,27.48571
1,10.5,0000 1 Jun 1991,28.32819
2,10.5,0000 1 Jun 1991,26.97717
3,10.5,0000 1 Jun 1991,27.43249
4,10.5,0000 1 Jun 1991,28.06213
5,10.5,0000 1 Jun 1991,27.02244
6,10.5,0000 1 Jun 1991,27.2473
7,10.5,0000 1 Jun 1991,27.40444
8,10.5,0000 1 Jun 1991,28.22675
9,10.5,0000 1 Jun 1991,27.78117
10,10.5,0000 1 Jun 1991,27.89094
1,1.5,0000 1 Jul 1991,26.88247
2,1.5,0000 1 Jul 1991,26.6821
3,1.5,0000 1 Jul 1991,26.87299
4,1.5,0000 1 Jul 1991,26.93937
5,1.5,0000 1 Jul 1991,26.49019
6,1.5,0000 1 Jul 1991,26.91788
7,1.5,0000 1 Jul 1991,26.91119
8,1.5,0000 1 Jul 1991,27.14855
9,1.5,0000 1 Jul 1991,26.83372
10,1.5,0000 1 Jul 1991,27.05578
1,2.5,0000 1 Jul 1991,26.325
2,2.5,0000 1 Jul 1991,25.98792
3,2.5,0000 1 Jul 1991,26.3308
