M,L,START,TARGET,SZN,MEAN_SST_CanSIPS_IC4,VAR_SST_CanSIPS_IC4
25,1.5,7,8,JAS,27.07325666666669,0.4204238701264356
26,1.5,7,8,JAS,27.105376666666693,0.3851785708160951
27,1.5,7,8,JAS,27.136610000000026,0.3928263802413803
28,1.5,7,8,JAS,27.10866333333335,0.3840823472298879
29,1.5,7,8,JAS,27.11641333333336,0.4161498301609121
30,1.5,7,8,JAS,27.133013333333352,0.37653414119540135
31,1.5,7,8,JAS,27.09421666666669,0.31221492971263975
32,1.5,7,8,JAS,27.087186666666693,0.3190076798160934
33,1.5,7,8,JAS,27.09959000000002,0.3646114140344801
34,1.5,7,8,JAS,27.095743333333353,0.311007081160925
35,1.5,7,8,JAS,27.08407000000003,0.32861914906896694
36,1.5,7,8,JAS,27.08782666666669,0.33201387236781565
37,1.5,7,8,JAS,27.079896666666688,0.3450903024023036
38,1.5,7,8,JAS,27.09290666666669,0.30539714202298657
39,1.5,7,8,JAS,27.096860000000017,0.31050265903448576
40,1.5,7,8,JAS,27.10062333333336,0.36984117150574974
1,1.5,8,9,ASO,25.70213000000002,1.310833823551718
2,1.5,8,9,ASO,25.69769333333336,1.3180106013333246
3,1.5,8,9,ASO,25.67011000000003,1.3203168671379326
4,1.5,8,9,ASO,25.738076666666693,1.2381461735747157
5,1.5,8,9,ASO,25.595580000000027,1.2965366037241381
6,1.5,8,9,ASO,25.753916666666683,1.190813286954032
7,1.5,8,9,ASO,25.70749333333335,1.3585134840919644
8,1.5,8,9,ASO,25.684100000000022,1.212471991724142
9,1.5,8,9,ASO,25.67997666666669,1.3290910315057494
10,1.5,8,9,ASO,25.68026333333336,1.34461849964368
11,1.5,8,9,ASO,25.682630000000024,1.3020404049310224
12,1.5,8,9,ASO,25.646476666666683,1.3057280728850542
13,1.5,8,9,ASO,25.621826666666696,1.3475223178850442
14,1.5,8,9,ASO,25.606720000000028,1.3264126651034402
15,1.5,8,9,ASO,25.63693000000002,1.2817557407930895
16,1.5,8,9,ASO,25.634960000000024,1.3406152135172391
17,1.5,8,9,ASO,25.698720000000034,1.3488540844138006
18,1.5,8,9,ASO,25.662140000000022,1.264434732137927
19,1.5,8,9,ASO,25.685073333333357,1.3057370337471386
20,1.5,8,9,ASO,25.687690000000025,1.2586186367931065
21,1.5,8,9,ASO,26.77193333333336,0.5114652643678221
22,1.5,8,9,ASO,26.78876666666669,0.48567966988505407
23,1.5,8,9,ASO,26.779350000000022,0.5337078018965563
24,1.5,8,9,ASO,26.778423333333354,0.4898930701264381
25,1.5,8,9,ASO,26.780983333333356,0.5451935572988402
26,1.5,8,9,ASO,26.799530000000022,0.504003490448277
27,1.5,8,9,ASO,26.79489000000002,0.4754094264482741
28,1.5,8,9,ASO,26.790386666666684,0.49492194257471706
29,1.5,8,9,ASO,26.798020000000022,0.4819804582069003
30,1.5,8,9,ASO,26.816493333333348,0.5234404523678112
31,1.5,8,9,ASO,26.80040333333336,0.46183766171263985
32,1.5,8,9,ASO,26.77097333333336,0.49659482960919565
