M,L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR
12,2.5,5,7,JJA,26.958435333333334,0.3748041219843678
13,2.5,5,7,JJA,26.944494666666667,0.37093497630850686
14,2.5,5,7,JJA,26.918562333333334,0.38209176189436816
15,2.5,5,7,JJA,26.985397,0.33774717662862214
1,2.5,6,8,JAS,26.525756333333334,0.4961097476654021
2,2.5,6,8,JAS,26.462190000000003,0.5362503089379311
3,2.5,6,8,JAS,26.522045333333335,0.5204814936464364
4,2.5,6,8,JAS,26.535461333333334,0.49574208913609136
5,2.5,6,8,JAS,26.488152333333336,0.6184152656116094
6,2.5,6,8,JAS,26.449224333333333,0.4788126162598858
7,2.5,6,8,JAS,26.496929666666666,0.42357855176885034
8,2.5,6,8,JAS,26.494079666666668,0.6186275952929884
9,2.5,6,8,JAS,26.491491666666665,0.49783179126954197
10,2.5,6,8,JAS,26.477011333333333,0.5433725757085061
11,2.5,6,8,JAS,26.395256,0.5672227508455179
12,2.5,6,8,JAS,26.55008366666667,0.46615903914126416
13,2.5,6,8,JAS,26.518104333333333,0.5232988501426442
14,2.5,6,8,JAS,26.469284666666667,0.5345573897291964
15,2.5,6,8,JAS,26.568042,0.47928327194068854
1,2.5,7,9,ASO,26.383873,0.608141621476895
2,2.5,7,9,ASO,26.327815,0.6717028511706892
3,2.5,7,9,ASO,26.498680666666665,0.7138145991719538
4,2.5,7,9,ASO,26.394298666666668,0.7612699173705736
5,2.5,7,9,ASO,26.395660666666668,0.6497679387236788
6,2.5,7,9,ASO,26.421039333333333,0.7654264315857477
7,2.5,7,9,ASO,26.429483666666666,0.6728520693205746
8,2.5,7,9,ASO,26.415297,0.7110994230631027
9,2.5,7,9,ASO,26.352952333333334,0.7671649758047124
10,2.5,7,9,ASO,26.401603,0.6815210350631017
11,2.5,7,9,ASO,26.371235666666667,0.7102765189702301
12,2.5,7,9,ASO,26.395834333333333,0.7767178066874709
13,2.5,7,9,ASO,26.381054333333335,0.7691374598254024
14,2.5,7,9,ASO,26.394327333333333,0.7131160578616097
15,2.5,7,9,ASO,26.388663,0.8063815664699993
1,2.5,8,10,SON,26.494493,0.8771507334837927
2,2.5,8,10,SON,26.503922666666664,0.7797577241236793
3,2.5,8,10,SON,26.532847333333333,0.8832342137236789
4,2.5,8,10,SON,26.502077333333332,0.9255807146340218
5,2.5,8,10,SON,26.50209896551724,0.9745200808524619
6,2.5,8,10,SON,26.465108999999998,0.8951651543196545
7,2.5,8,10,SON,26.454005,0.8638025728120686
8,2.5,8,10,SON,26.523236999999998,1.028466946745862
9,2.5,8,10,SON,26.480364333333334,0.8910748725288495
10,2.5,8,10,SON,26.421489,0.9137738442093103
11,2.5,8,10,SON,26.568019666666665,0.9737715208516073
12,2.5,8,10,SON,26.548168,0.8573854087544837
13,2.5,8,10,SON,26.517043666666666,0.9617243825274723
14,2.5,8,10,SON,26.436433,0.7904077994906895
15,2.5,8,10,SON,26.488640333333333,1.0247999515619526
1,2.5,9,11,OND,26.609675666666664,0.9767970583357488
2,2.5,9,11,OND,26.613352000000003,0.9519651014924141
3,2.5,9,11,OND,26.646287333333337,1.0083670473443687
4,2.5,9,11,OND,26.591088,1.0384783859131024
5,2.5,9,11,OND,26.566390000000002,0.9998614884482763
6,2.5,9,11,OND,26.569455,1.1109285138534488
7,2.5,9,11,OND,26.583289999999998,1.075826650993105
8,2.5,9,11,OND,26.623071333333332,0.9543035818257457
9,2.5,9,11,OND,26.605002,1.1554346563682747
10,2.5,9,11,OND,26.519007666666667,0.9556539124874714
11,2.5,9,11,OND,26.568983,0.9618272918424143
12,2.5,9,11,OND,26.629603333333332,1.0321762996298858
13,2.5,9,11,OND,26.58728,0.9403665972551734
14,2.5,9,11,OND,26.58963,1.0803405707862077
15,2.5,9,11,OND,26.612444666666665,1.0363415855843663
1,2.5,10,12,NDJ,26.465844333333333,1.1309924085426442
2,2.5,10,12,NDJ,26.470405333333336,0.9658159079498847
3,2.5,10,12,NDJ,26.509323333333334,1.037010474988505
4,2.5,10,12,NDJ,26.476174333333333,1.0632281161564365
5,2.5,10,12,NDJ,26.473200000000002,1.0854771203655178
6,2.5,10,12,NDJ,26.45372166666667,0.9765133007729883
7,2.5,10,12,NDJ,26.484639,0.9875604784989648
8,2.5,10,12,NDJ,26.4725,0.9884864839655173
9,2.5,10,12,NDJ,26.47604533333333,1.0957450590257476
10,2.5,10,12,NDJ,26.494779,1.0684082022713786
11,2.5,10,12,NDJ,26.471187,1.0143208021458623
12,2.5,10,12,NDJ,26.493558,1.1375271366717246
13,2.5,10,12,NDJ,26.512875666666666,1.0871954076874721
14,2.5,10,12,NDJ,26.496607,1.066168063359655
15,2.5,10,12,NDJ,26.466156,1.0438277129558615
1,2.5,11,1,DJF,26.447425,0.8094262412327583
2,2.5,11,1,DJF,26.410184333333333,0.9066321367012636
3,2.5,11,1,DJF,26.454019000000002,0.8120487906093112
4,2.5,11,1,DJF,26.41062966666667,0.8426473255688511
5,2.5,11,1,DJF,26.439887666666667,0.7223595379564361
6,2.5,11,1,DJF,26.419482000000002,0.874986128161378
7,2.5,11,1,DJF,26.443104333333334,0.8818862784667814
8,2.5,11,1,DJF,26.415449666666667,0.8135177350585062
9,2.5,11,1,DJF,26.409025999999997,0.8523076465696541
