M,L,MON,LDC_SST_GFDL_SPEAR
15,1.5,0000 1 Mar 1991,27.77302
1,2.5,0000 1 Mar 1991,27.49199
2,2.5,0000 1 Mar 1991,27.67386
3,2.5,0000 1 Mar 1991,27.56034
4,2.5,0000 1 Mar 1991,27.53446
5,2.5,0000 1 Mar 1991,27.6975
6,2.5,0000 1 Mar 1991,27.58592
7,2.5,0000 1 Mar 1991,27.97962
8,2.5,0000 1 Mar 1991,27.5814
9,2.5,0000 1 Mar 1991,27.66505
10,2.5,0000 1 Mar 1991,27.70415
11,2.5,0000 1 Mar 1991,27.29062
12,2.5,0000 1 Mar 1991,27.79326
13,2.5,0000 1 Mar 1991,27.63009
14,2.5,0000 1 Mar 1991,27.36197
15,2.5,0000 1 Mar 1991,27.89235
1,3.5,0000 1 Mar 1991,26.94126
2,3.5,0000 1 Mar 1991,27.20702
3,3.5,0000 1 Mar 1991,27.16376
4,3.5,0000 1 Mar 1991,26.90026
5,3.5,0000 1 Mar 1991,27.17545
6,3.5,0000 1 Mar 1991,27.20697
7,3.5,0000 1 Mar 1991,27.53994
8,3.5,0000 1 Mar 1991,27.03817
9,3.5,0000 1 Mar 1991,27.145
10,3.5,0000 1 Mar 1991,27.1859
11,3.5,0000 1 Mar 1991,26.73474
12,3.5,0000 1 Mar 1991,27.20444
13,3.5,0000 1 Mar 1991,27.20079
14,3.5,0000 1 Mar 1991,26.79047
15,3.5,0000 1 Mar 1991,27.4519
1,4.5,0000 1 Mar 1991,26.05102
2,4.5,0000 1 Mar 1991,26.52309
3,4.5,0000 1 Mar 1991,26.50796
4,4.5,0000 1 Mar 1991,26.1738
5,4.5,0000 1 Mar 1991,26.40897
6,4.5,0000 1 Mar 1991,26.58859
7,4.5,0000 1 Mar 1991,26.83473
8,4.5,0000 1 Mar 1991,26.40685
9,4.5,0000 1 Mar 1991,26.40496
10,4.5,0000 1 Mar 1991,26.56013
11,4.5,0000 1 Mar 1991,26.10667
12,4.5,0000 1 Mar 1991,26.27733
13,4.5,0000 1 Mar 1991,26.68189
14,4.5,0000 1 Mar 1991,26.0676
15,4.5,0000 1 Mar 1991,26.84442
1,5.5,0000 1 Mar 1991,25.35277
2,5.5,0000 1 Mar 1991,25.84702
3,5.5,0000 1 Mar 1991,26.05951
4,5.5,0000 1 Mar 1991,25.54185
5,5.5,0000 1 Mar 1991,25.83257
6,5.5,0000 1 Mar 1991,25.98654
7,5.5,0000 1 Mar 1991,26.12816
8,5.5,0000 1 Mar 1991,25.95354
9,5.5,0000 1 Mar 1991,25.77074
10,5.5,0000 1 Mar 1991,26.14665
11,5.5,0000 1 Mar 1991,25.57772
12,5.5,0000 1 Mar 1991,25.52691
13,5.5,0000 1 Mar 1991,26.28324
14,5.5,0000 1 Mar 1991,25.54976
15,5.5,0000 1 Mar 1991,26.31569
1,6.5,0000 1 Mar 1991,24.92705
2,6.5,0000 1 Mar 1991,25.43764
3,6.5,0000 1 Mar 1991,25.80251
4,6.5,0000 1 Mar 1991,25.19216
5,6.5,0000 1 Mar 1991,25.63417
6,6.5,0000 1 Mar 1991,25.50354
