M,L,START,TARGET,SZN,MEAN_SST_GEM52_NEMO,VAR_SST_GEM52_NEMO
7,9.5,1,10,SON,23.701123333333353,0.47386401495402386
8,9.5,1,10,SON,23.90291333333336,0.6246343315402305
9,9.5,1,10,SON,23.80976666666669,0.5510860360919508
10,9.5,1,10,SON,23.864130000000024,0.42497672217241944
11,9.5,1,10,SON,23.91581666666669,0.516505669712642
12,9.5,1,10,SON,23.87996333333336,0.2850662624022999
13,9.5,1,10,SON,23.846690000000024,0.4962693236896524
14,9.5,1,10,SON,23.82104666666669,0.4427878991264339
15,9.5,1,10,SON,23.961463333333352,0.70926276516092
16,9.5,1,10,SON,23.82825000000002,0.5640023549999992
17,9.5,1,10,SON,23.78950000000002,0.5827283648275797
18,9.5,1,10,SON,23.847180000000026,0.45738598579310097
19,9.5,1,10,SON,23.72407333333336,0.5073676882298799
20,9.5,1,10,SON,23.952886666666693,0.3570492163678254
1,9.5,2,11,OND,23.93892666666669,0.5460708289195426
2,9.5,2,11,OND,23.722400000000025,0.4917536820689603
3,9.5,2,11,OND,23.880276666666692,0.5207188446091835
4,9.5,2,11,OND,23.990213333333354,0.6861912494712669
5,9.5,2,11,OND,24.042456666666688,0.8208733121953851
6,9.5,2,11,OND,23.857223333333355,0.5829678625402309
7,9.5,2,11,OND,23.82589666666669,0.5259638499885075
8,9.5,2,11,OND,23.94020333333336,0.8881978210229846
9,9.5,2,11,OND,23.889013333333363,0.7923717570574579
10,9.5,2,11,OND,23.935760000000027,0.6531895204137933
11,9.5,2,11,OND,23.900523333333357,0.5484697204712553
12,9.5,2,11,OND,24.022170000000017,0.6065670566551697
13,9.5,2,11,OND,23.749233333333358,0.9905479374712634
14,9.5,2,11,OND,23.89583000000002,0.8132915380344833
15,9.5,2,11,OND,23.83198000000002,0.5983446230344887
16,9.5,2,11,OND,23.929116666666694,0.7632552207471169
17,9.5,2,11,OND,23.92183000000002,0.831493851137929
18,9.5,2,11,OND,23.94221666666669,0.8550020607471231
19,9.5,2,11,OND,23.78757000000002,0.5747082952758598
20,9.5,2,11,OND,23.91659333333336,0.4154122971953973
1,9.5,3,12,NDJ,24.15326000000002,0.7609342473103451
2,9.5,3,12,NDJ,24.231913333333356,0.816024350850578
3,9.5,3,12,NDJ,24.078843333333353,0.7913794542643644
4,9.5,3,12,NDJ,23.93608333333335,0.4553683862643675
5,9.5,3,12,NDJ,24.147100000000023,0.9292122282758675
6,9.5,3,12,NDJ,24.070156666666684,0.6478262425402233
7,9.5,3,12,NDJ,24.10153666666669,0.8427751803333151
8,9.5,3,12,NDJ,24.135426666666692,0.7616221834022988
9,9.5,3,12,NDJ,23.986383333333357,0.9975227938505717
10,9.5,3,12,NDJ,24.108206666666682,0.7986995178850641
11,9.5,3,12,NDJ,23.948533333333362,0.9447422933333383
12,9.5,3,12,NDJ,23.915076666666696,0.7348309956436805
13,9.5,3,12,NDJ,24.155306666666686,0.6929724861609113
14,9.5,3,12,NDJ,24.00931000000002,0.6914957574827579
15,9.5,3,12,NDJ,24.124030000000023,0.8704475249310244
16,9.5,3,12,NDJ,23.997530000000022,0.8876703083793183
17,9.5,3,12,NDJ,23.94256000000002,0.9042435045517283
18,9.5,3,12,NDJ,23.983330000000024,0.5628229194137905
19,9.5,3,12,NDJ,23.97325666666669,0.9318713473678164
20,9.5,3,12,NDJ,24.095906666666693,1.027172973747125
1,9.5,4,1,DJF,24.30533000000002,0.7191939138965412
2,9.5,4,1,DJF,24.377580000000023,0.7534177071724063
3,9.5,4,1,DJF,24.362073333333356,0.6893213951264321
4,9.5,4,1,DJF,24.307090000000024,0.6766151436896534
5,9.5,4,1,DJF,24.40055000000002,0.7719248736206837
6,9.5,4,1,DJF,24.45251000000002,0.8825079567931107
7,9.5,4,1,DJF,24.275313333333358,0.8932973515402253
