M,L,MON,LDC_SST_NASA_GEOSS2S
2,2.5,0000 1 Nov 1991,27.76254
3,2.5,0000 1 Nov 1991,27.30359
4,2.5,0000 1 Nov 1991,27.75362
1,3.5,0000 1 Nov 1991,27.86271
2,3.5,0000 1 Nov 1991,27.72171
3,3.5,0000 1 Nov 1991,27.19708
4,3.5,0000 1 Nov 1991,27.5991
1,4.5,0000 1 Nov 1991,28.16682
2,4.5,0000 1 Nov 1991,27.86345
3,4.5,0000 1 Nov 1991,27.1945
4,4.5,0000 1 Nov 1991,27.71537
1,5.5,0000 1 Nov 1991,28.54471
2,5.5,0000 1 Nov 1991,28.30672
3,5.5,0000 1 Nov 1991,27.24196
4,5.5,0000 1 Nov 1991,28.03218
1,6.5,0000 1 Nov 1991,28.7808
2,6.5,0000 1 Nov 1991,28.60873
3,6.5,0000 1 Nov 1991,27.36656
4,6.5,0000 1 Nov 1991,28.13154
1,7.5,0000 1 Nov 1991,28.78201
2,7.5,0000 1 Nov 1991,28.63658
3,7.5,0000 1 Nov 1991,27.39972
4,7.5,0000 1 Nov 1991,27.79554
1,1.5,0000 1 Dec 1991,27.91249
2,1.5,0000 1 Dec 1991,28.30094
3,1.5,0000 1 Dec 1991,28.26922
4,1.5,0000 1 Dec 1991,27.94724
1,2.5,0000 1 Dec 1991,27.92348
2,2.5,0000 1 Dec 1991,28.35744
3,2.5,0000 1 Dec 1991,28.33344
4,2.5,0000 1 Dec 1991,27.74244
1,3.5,0000 1 Dec 1991,28.08534
2,3.5,0000 1 Dec 1991,28.47321
3,3.5,0000 1 Dec 1991,28.35442
4,3.5,0000 1 Dec 1991,27.73552
1,4.5,0000 1 Dec 1991,28.18331
2,4.5,0000 1 Dec 1991,28.59591
3,4.5,0000 1 Dec 1991,28.55506
4,4.5,0000 1 Dec 1991,28.01879
1,5.5,0000 1 Dec 1991,28.21529
2,5.5,0000 1 Dec 1991,28.60322
3,5.5,0000 1 Dec 1991,28.79346
4,5.5,0000 1 Dec 1991,28.39446
1,6.5,0000 1 Dec 1991,27.98749
2,6.5,0000 1 Dec 1991,28.25089
3,6.5,0000 1 Dec 1991,28.88409
4,6.5,0000 1 Dec 1991,28.5393
1,7.5,0000 1 Dec 1991,27.65967
2,7.5,0000 1 Dec 1991,27.65972
3,7.5,0000 1 Dec 1991,28.73601
4,7.5,0000 1 Dec 1991,28.3925
1,1.5,0000 1 Jan 1992,28.71837
2,1.5,0000 1 Jan 1992,28.72063
3,1.5,0000 1 Jan 1992,28.23987
4,1.5,0000 1 Jan 1992,28.53104
1,2.5,0000 1 Jan 1992,28.98717
2,2.5,0000 1 Jan 1992,28.97832
3,2.5,0000 1 Jan 1992,28.4555
4,2.5,0000 1 Jan 1992,28.84635
1,3.5,0000 1 Jan 1992,29.3096
2,3.5,0000 1 Jan 1992,29.20963
3,3.5,0000 1 Jan 1992,28.88979
4,3.5,0000 1 Jan 1992,29.21345
1,4.5,0000 1 Jan 1992,29.56461
2,4.5,0000 1 Jan 1992,29.43091
3,4.5,0000 1 Jan 1992,29.39286
4,4.5,0000 1 Jan 1992,29.55805
1,5.5,0000 1 Jan 1992,29.49839
2,5.5,0000 1 Jan 1992,29.2815
3,5.5,0000 1 Jan 1992,29.58529
4,5.5,0000 1 Jan 1992,29.58875
1,6.5,0000 1 Jan 1992,29.11231
2,6.5,0000 1 Jan 1992,28.89082
3,6.5,0000 1 Jan 1992,29.48599
4,6.5,0000 1 Jan 1992,29.14793
1,7.5,0000 1 Jan 1992,28.65218
2,7.5,0000 1 Jan 1992,28.17707
3,7.5,0000 1 Jan 1992,29.35886
4,7.5,0000 1 Jan 1992,28.41579
1,1.5,0000 1 Feb 1992,28.93857
2,1.5,0000 1 Feb 1992,28.79471
3,1.5,0000 1 Feb 1992,28.99843
4,1.5,0000 1 Feb 1992,28.94923
1,2.5,0000 1 Feb 1992,29.2014
2,2.5,0000 1 Feb 1992,28.89581
3,2.5,0000 1 Feb 1992,29.4666
4,2.5,0000 1 Feb 1992,29.31152
1,3.5,0000 1 Feb 1992,29.45292
2,3.5,0000 1 Feb 1992,28.70041
3,3.5,0000 1 Feb 1992,29.82512
4,3.5,0000 1 Feb 1992,29.52504
1,4.5,0000 1 Feb 1992,28.9381
2,4.5,0000 1 Feb 1992,28.11481
3,4.5,0000 1 Feb 1992,29.89268
4,4.5,0000 1 Feb 1992,29.314
1,5.5,0000 1 Feb 1992,27.69578
2,5.5,0000 1 Feb 1992,27.46232
3,5.5,0000 1 Feb 1992,29.64045
4,5.5,0000 1 Feb 1992,28.7849
1,6.5,0000 1 Feb 1992,26.32302
2,6.5,0000 1 Feb 1992,26.83611
3,6.5,0000 1 Feb 1992,29.31935
4,6.5,0000 1 Feb 1992,28.28472
1,7.5,0000 1 Feb 1992,25.51307
2,7.5,0000 1 Feb 1992,26.59771
3,7.5,0000 1 Feb 1992,29.2572
