M,L,START,TARGET,SZN,MEAN_SST_NASA_GEOSS2S,VAR_SST_NASA_GEOSS2S
2,5.5,3,8,JAS,27.183977333333335,1.537332516992643
3,5.5,3,8,JAS,27.383651,1.5309840449679306
4,5.5,3,8,JAS,27.42019733333333,1.2374878683029886
1,5.5,4,9,ASO,27.474226666666667,1.9685399998643682
2,5.5,4,9,ASO,27.383259666666667,1.8031520382378161
3,5.5,4,9,ASO,27.355241666666664,1.709080199738506
4,5.5,4,9,ASO,27.304929,2.3142647711748277
1,5.5,5,10,SON,27.326110000000003,2.3424548231517233
2,5.5,5,10,SON,27.343987000000002,1.9300267200837928
3,5.5,5,10,SON,27.17193166666667,2.155801913497128
4,5.5,5,10,SON,27.129541666666668,2.338109740504022
1,5.5,6,11,OND,27.170009,2.8352134352437925
2,5.5,6,11,OND,27.08329966666667,2.907737406899887
3,5.5,6,11,OND,27.091429666666667,2.6399339329757465
4,5.5,6,11,OND,27.057380666666667,2.38031007202023
1,5.5,7,12,NDJ,27.043400666666667,3.210485049337473
2,5.5,7,12,NDJ,26.74172666666667,3.143110623036782
3,5.5,7,12,NDJ,26.64132933333333,2.7709604697374726
4,5.5,7,12,NDJ,26.764673333333334,3.1301308028988477
1,5.5,8,1,DJF,26.23891166666667,3.3232505417247125
2,5.5,8,1,DJF,26.18478633333333,3.148674906844713
3,5.5,8,1,DJF,26.309426666666663,3.2235373672919563
4,5.5,8,1,DJF,26.126235666666666,2.3270486153771266
1,5.5,9,2,JFM,25.984364666666668,2.5274749857912666
2,5.5,9,2,JFM,25.957562,2.3997566089406885
3,5.5,9,2,JFM,25.811894666666667,2.2650651374947124
4,5.5,9,2,JFM,25.955411666666667,2.4263864232212646
1,5.5,10,3,FMA,25.937134333333333,2.090890269977127
2,5.5,10,3,FMA,25.971567999999998,2.4788273279889665
3,5.5,10,3,FMA,26.00554933333333,2.3169377127443664
4,5.5,10,3,FMA,25.95228366666667,2.36928901254816
1,5.5,11,4,MAM,26.361159333333333,1.660168003544368
2,5.5,11,4,MAM,26.33711933333333,1.7935860568891968
3,5.5,11,4,MAM,26.554054,1.6468645002386204
4,5.5,11,4,MAM,26.612423333333332,1.9678499586643685
1,5.5,12,5,AMJ,26.884747333333333,1.4247702626340226
2,5.5,12,5,AMJ,27.005999999999997,1.3606829516827583
3,5.5,12,5,AMJ,26.974758666666666,1.3117631693567824
4,5.5,12,5,AMJ,26.870595666666667,1.0436904725633322
1,6.5,1,7,JJA,27.103971,0.8986408128575861
2,6.5,1,7,JJA,27.063827,0.7691020522631028
3,6.5,1,7,JJA,27.259611666666668,0.8918328608833332
4,6.5,1,7,JJA,27.185500666666666,1.0217634050064364
