L,MON,LDC_SST_NASA_GEOSS2S
3.5,0000 1 Aug 1996,25.58756
4.5,0000 1 Aug 1996,25.38502
5.5,0000 1 Aug 1996,25.20973
6.5,0000 1 Aug 1996,25.32118
7.5,0000 1 Aug 1996,25.731
1.5,0000 1 Sep 1996,25.58084
2.5,0000 1 Sep 1996,25.49966
3.5,0000 1 Sep 1996,25.48285
4.5,0000 1 Sep 1996,25.39926
5.5,0000 1 Sep 1996,25.53206
6.5,0000 1 Sep 1996,25.97029
7.5,0000 1 Sep 1996,26.54294
1.5,0000 1 Oct 1996,25.73813
2.5,0000 1 Oct 1996,25.56469
3.5,0000 1 Oct 1996,25.40739
4.5,0000 1 Oct 1996,25.43975
5.5,0000 1 Oct 1996,25.79249
6.5,0000 1 Oct 1996,26.34874
7.5,0000 1 Oct 1996,26.84907
1.5,0000 1 Nov 1996,25.58898
2.5,0000 1 Nov 1996,25.35586
3.5,0000 1 Nov 1996,25.42278
4.5,0000 1 Nov 1996,25.79055
5.5,0000 1 Nov 1996,26.3903
6.5,0000 1 Nov 1996,26.82809
7.5,0000 1 Nov 1996,27.11452
1.5,0000 1 Dec 1996,25.46915
2.5,0000 1 Dec 1996,25.44481
3.5,0000 1 Dec 1996,25.87976
4.5,0000 1 Dec 1996,26.58699
5.5,0000 1 Dec 1996,27.16565
6.5,0000 1 Dec 1996,27.48614
7.5,0000 1 Dec 1996,27.67218
1.5,0000 1 Jan 1997,26.15987
2.5,0000 1 Jan 1997,26.71927
3.5,0000 1 Jan 1997,27.42017
4.5,0000 1 Jan 1997,28.04129
5.5,0000 1 Jan 1997,28.34282
6.5,0000 1 Jan 1997,28.40269
7.5,0000 1 Jan 1997,28.37163
1.5,0000 1 Feb 1997,26.70658
2.5,0000 1 Feb 1997,27.3165
3.5,0000 1 Feb 1997,27.82337
4.5,0000 1 Feb 1997,28.04956
5.5,0000 1 Feb 1997,28.00962
6.5,0000 1 Feb 1997,28.04465
7.5,0000 1 Feb 1997,28.36669
1.5,0000 1 Mar 1997,27.87976
2.5,0000 1 Mar 1997,28.47516
3.5,0000 1 Mar 1997,28.77683
4.5,0000 1 Mar 1997,28.93209
5.5,0000 1 Mar 1997,29.05022
6.5,0000 1 Mar 1997,29.40208
7.5,0000 1 Mar 1997,29.85278
1.5,0000 1 Apr 1997,28.69616
2.5,0000 1 Apr 1997,29.00527
3.5,0000 1 Apr 1997,29.12214
4.5,0000 1 Apr 1997,29.27882
5.5,0000 1 Apr 1997,29.67833
6.5,0000 1 Apr 1997,30.19047
7.5,0000 1 Apr 1997,30.53343
1.5,0000 1 May 1997,28.96526
2.5,0000 1 May 1997,29.2175
3.5,0000 1 May 1997,29.48053
4.5,0000 1 May 1997,29.87469
5.5,0000 1 May 1997,30.28722
6.5,0000 1 May 1997,30.55897
7.5,0000 1 May 1997,30.61086
1.5,0000 1 Jun 1997,29.27563
2.5,0000 1 Jun 1997,29.56219
3.5,0000 1 Jun 1997,29.9528
4.5,0000 1 Jun 1997,30.29338
5.5,0000 1 Jun 1997,30.51801
6.5,0000 1 Jun 1997,30.50063
7.5,0000 1 Jun 1997,30.41189
1.5,0000 1 Jul 1997,29.31705
2.5,0000 1 Jul 1997,29.67157
3.5,0000 1 Jul 1997,30.10704
4.5,0000 1 Jul 1997,30.44627
5.5,0000 1 Jul 1997,30.58318
6.5,0000 1 Jul 1997,30.5403
7.5,0000 1 Jul 1997,30.37212
1.5,0000 1 Aug 1997,29.13533
2.5,0000 1 Aug 1997,29.49006
3.5,0000 1 Aug 1997,29.84544
4.5,0000 1 Aug 1997,30.0518
5.5,0000 1 Aug 1997,30.09205
6.5,0000 1 Aug 1997,30.04401
7.5,0000 1 Aug 1997,29.9909
1.5,0000 1 Sep 1997,29.54391
2.5,0000 1 Sep 1997,29.8765
3.5,0000 1 Sep 1997,30.04196
4.5,0000 1 Sep 1997,30.05302
5.5,0000 1 Sep 1997,29.99026
6.5,0000 1 Sep 1997,29.9879
7.5,0000 1 Sep 1997,29.83961
1.5,0000 1 Oct 1997,29.92945
2.5,0000 1 Oct 1997,30.00187
3.5,0000 1 Oct 1997,29.88423
4.5,0000 1 Oct 1997,29.80193
5.5,0000 1 Oct 1997,29.71433
6.5,0000 1 Oct 1997,29.45799
7.5,0000 1 Oct 1997,28.83317
1.5,0000 1 Nov 1997,29.89989
2.5,0000 1 Nov 1997,29.80452
3.5,0000 1 Nov 1997,29.59043
4.5,0000 1 Nov 1997,29.55868
5.5,0000 1 Nov 1997,29.50296
6.5,0000 1 Nov 1997,29.03357
7.5,0000 1 Nov 1997,27.69823
1.5,0000 1 Dec 1997,29.67829
2.5,0000 1 Dec 1997,29.55916
3.5,0000 1 Dec 1997,29.47186
4.5,0000 1 Dec 1997,29.27737
5.5,0000 1 Dec 1997,28.68601
6.5,0000 1 Dec 1997,27.40328
7.5,0000 1 Dec 1997,26.03449
1.5,0000 1 Jan 1998,29.37321
2.5,0000 1 Jan 1998,29.39969
3.5,0000 1 Jan 1998,29.36181
4.5,0000 1 Jan 1998,28.71408
5.5,0000 1 Jan 1998,27.38088
6.5,0000 1 Jan 1998,26.05123
7.5,0000 1 Jan 1998,25.20936
1.5,0000 1 Feb 1998,29.09683
2.5,0000 1 Feb 1998,29.18858
3.5,0000 1 Feb 1998,28.95192
4.5,0000 1 Feb 1998,27.95343
5.5,0000 1 Feb 1998,26.63074
6.5,0000 1 Feb 1998,25.41902
7.5,0000 1 Feb 1998,24.9173
1.5,0000 1 Mar 1998,29.19983
2.5,0000 1 Mar 1998,29.12962
3.5,0000 1 Mar 1998,28.24148
4.5,0000 1 Mar 1998,26.84252
5.5,0000 1 Mar 1998,25.54311
6.5,0000 1 Mar 1998,24.87372
7.5,0000 1 Mar 1998,24.39968
1.5,0000 1 Apr 1998,29.29883
2.5,0000 1 Apr 1998,28.60085
3.5,0000 1 Apr 1998,27.41834
4.5,0000 1 Apr 1998,26.17651
5.5,0000 1 Apr 1998,25.47883
6.5,0000 1 Apr 1998,25.03959
7.5,0000 1 Apr 1998,24.60814
1.5,0000 1 May 1998,28.44195
2.5,0000 1 May 1998,27.35774
3.5,0000 1 May 1998,26.23314
4.5,0000 1 May 1998,25.55859
5.5,0000 1 May 1998,25.23267
6.5,0000 1 May 1998,24.88029
7.5,0000 1 May 1998,24.41102
1.5,0000 1 Jun 1998,25.89857
2.5,0000 1 Jun 1998,24.99291
3.5,0000 1 Jun 1998,24.50348
4.5,0000 1 Jun 1998,24.25238
5.5,0000 1 Jun 1998,24.11144
6.5,0000 1 Jun 1998,23.8372
7.5,0000 1 Jun 1998,23.52837
1.5,0000 1 Jul 1998,24.726
2.5,0000 1 Jul 1998,24.40445
3.5,0000 1 Jul 1998,24.34786
4.5,0000 1 Jul 1998,24.2315
5.5,0000 1 Jul 1998,23.96252
6.5,0000 1 Jul 1998,23.71072
7.5,0000 1 Jul 1998,23.77465
1.5,0000 1 Aug 1998,24.66489
2.5,0000 1 Aug 1998,24.74057
3.5,0000 1 Aug 1998,24.82864
4.5,0000 1 Aug 1998,24.65099
5.5,0000 1 Aug 1998,24.24736
6.5,0000 1 Aug 1998,24.10071
7.5,0000 1 Aug 1998,24.42457
1.5,0000 1 Sep 1998,24.3414
2.5,0000 1 Sep 1998,24.21151
3.5,0000 1 Sep 1998,24.14754
4.5,0000 1 Sep 1998,23.95412
5.5,0000 1 Sep 1998,23.98614
6.5,0000 1 Sep 1998,24.52188
7.5,0000 1 Sep 1998,25.21443
1.5,0000 1 Oct 1998,24.56842
2.5,0000 1 Oct 1998,24.19091
3.5,0000 1 Oct 1998,23.82734
4.5,0000 1 Oct 1998,23.67495
5.5,0000 1 Oct 1998,23.98495
6.5,0000 1 Oct 1998,24.51552
7.5,0000 1 Oct 1998,24.93092
1.5,0000 1 Nov 1998,24.34921
2.5,0000 1 Nov 1998,23.96309
3.5,0000 1 Nov 1998,24.03939
4.5,0000 1 Nov 1998,24.63851
5.5,0000 1 Nov 1998,25.39797
6.5,0000 1 Nov 1998,25.88895
7.5,0000 1 Nov 1998,26.05707
1.5,0000 1 Dec 1998,23.97641
2.5,0000 1 Dec 1998,24.0308
