L,M,MON,LDC_SST_CanESM5
5.5,7,0000 1 Feb 1991,300.4042
6.5,7,0000 1 Feb 1991,300.0221
7.5,7,0000 1 Feb 1991,299.8458
8.5,7,0000 1 Feb 1991,299.795
9.5,7,0000 1 Feb 1991,299.7603
10.5,7,0000 1 Feb 1991,299.6895
1.5,8,0000 1 Feb 1991,300.6608
2.5,8,0000 1 Feb 1991,300.8103
3.5,8,0000 1 Feb 1991,300.7865
4.5,8,0000 1 Feb 1991,300.6013
5.5,8,0000 1 Feb 1991,300.3554
6.5,8,0000 1 Feb 1991,300.1035
7.5,8,0000 1 Feb 1991,299.9642
8.5,8,0000 1 Feb 1991,299.9264
9.5,8,0000 1 Feb 1991,299.9521
10.5,8,0000 1 Feb 1991,299.9264
1.5,9,0000 1 Feb 1991,300.8499
2.5,9,0000 1 Feb 1991,301.1114
3.5,9,0000 1 Feb 1991,301.0995
4.5,9,0000 1 Feb 1991,300.7471
5.5,9,0000 1 Feb 1991,300.3453
6.5,9,0000 1 Feb 1991,300.0258
7.5,9,0000 1 Feb 1991,299.8272
8.5,9,0000 1 Feb 1991,299.6751
9.5,9,0000 1 Feb 1991,299.5275
10.5,9,0000 1 Feb 1991,299.4696
1.5,10,0000 1 Feb 1991,300.9496
2.5,10,0000 1 Feb 1991,301.2463
3.5,10,0000 1 Feb 1991,301.2881
4.5,10,0000 1 Feb 1991,300.9642
5.5,10,0000 1 Feb 1991,300.5115
6.5,10,0000 1 Feb 1991,300.0876
7.5,10,0000 1 Feb 1991,299.9194
8.5,10,0000 1 Feb 1991,299.8494
9.5,10,0000 1 Feb 1991,299.7146
10.5,10,0000 1 Feb 1991,299.528
1.5,11,0000 1 Feb 1991,300.6982
2.5,11,0000 1 Feb 1991,300.8621
3.5,11,0000 1 Feb 1991,300.8407
4.5,11,0000 1 Feb 1991,300.6869
5.5,11,0000 1 Feb 1991,300.4969
6.5,11,0000 1 Feb 1991,300.3282
7.5,11,0000 1 Feb 1991,300.3218
8.5,11,0000 1 Feb 1991,300.5001
9.5,11,0000 1 Feb 1991,300.6702
10.5,11,0000 1 Feb 1991,300.7995
1.5,12,0000 1 Feb 1991,300.8607
2.5,12,0000 1 Feb 1991,301.2296
3.5,12,0000 1 Feb 1991,301.3582
4.5,12,0000 1 Feb 1991,301.1049
5.5,12,0000 1 Feb 1991,300.6282
6.5,12,0000 1 Feb 1991,300.2268
7.5,12,0000 1 Feb 1991,300.0222
8.5,12,0000 1 Feb 1991,300.0197
9.5,12,0000 1 Feb 1991,300.0043
10.5,12,0000 1 Feb 1991,299.8783
1.5,13,0000 1 Feb 1991,300.6213
2.5,13,0000 1 Feb 1991,300.7602
3.5,13,0000 1 Feb 1991,300.7274
4.5,13,0000 1 Feb 1991,300.5988
5.5,13,0000 1 Feb 1991,300.3561
6.5,13,0000 1 Feb 1991,300.0818
7.5,13,0000 1 Feb 1991,299.8572
