L,MON,LDC_SST_CanSIPS_IC4,LDC_SST_CanSIPS_IC4_ONETWO,LDC_SST_CanSIPS_IC4_THREE,LDC_SST_CanSIPS_IC4_FOUR
8.5,0000 1 Jul 1992,299.6298,299.7581,299.6032,300.6657
9.5,0000 1 Jul 1992,299.8828,299.2147,299.6169,300.777
10.5,0000 1 Jul 1992,299.8673,298.0565,299.1509,300.8854
1.5,0000 1 Aug 1992,299.1051,295.739,297.6151,301.6899
2.5,0000 1 Aug 1992,298.9731,296.2752,297.6673,301.4871
3.5,0000 1 Aug 1992,298.9615,296.8347,297.8203,301.3435
4.5,0000 1 Aug 1992,298.894,297.535,297.9929,301.14
5.5,0000 1 Aug 1992,298.8759,298.4325,298.3393,300.8576
6.5,0000 1 Aug 1992,299.0129,299.3221,298.8265,300.6112
7.5,0000 1 Aug 1992,299.3113,299.7209,299.2957,300.5432
8.5,0000 1 Aug 1992,299.5761,299.2026,299.3763,300.6526
9.5,0000 1 Aug 1992,299.6228,298.0446,298.9734,300.7789
10.5,0000 1 Aug 1992,299.3759,296.7473,298.247,300.7701
1.5,0000 1 Sep 1992,299.2401,295.7784,297.763,301.6659
2.5,0000 1 Sep 1992,299.0637,296.5894,297.7902,301.4673
3.5,0000 1 Sep 1992,298.9629,297.3414,297.9302,301.2661
4.5,0000 1 Sep 1992,298.9352,298.2398,298.2632,301.0065
5.5,0000 1 Sep 1992,299.0707,299.1232,298.7658,300.7546
6.5,0000 1 Sep 1992,299.388,299.5414,299.2904,300.6583
7.5,0000 1 Sep 1992,299.6852,299.0412,299.4105,300.7522
8.5,0000 1 Sep 1992,299.7646,297.9308,299.0507,300.8748
9.5,0000 1 Sep 1992,299.5124,296.7025,298.3153,300.8736
10.5,0000 1 Sep 1992,299.0815,295.8275,297.6391,300.7395
1.5,0000 1 Oct 1992,299.131,296.1435,297.7754,301.5479
2.5,0000 1 Oct 1992,298.9658,297.1833,297.8964,301.3027
3.5,0000 1 Oct 1992,298.9555,298.1828,298.242,301.06
4.5,0000 1 Oct 1992,299.1113,299.1115,298.7963,300.8424
5.5,0000 1 Oct 1992,299.4616,299.6198,299.3585,300.7988
6.5,0000 1 Oct 1992,299.7971,299.2093,299.5398,300.9238
7.5,0000 1 Oct 1992,299.8961,298.1498,299.2033,301.05
8.5,0000 1 Oct 1992,299.6382,296.947,298.5043,301.0129
9.5,0000 1 Oct 1992,299.2076,296.1008,297.8358,300.8545
10.5,0000 1 Oct 1992,298.8145,295.6582,297.4543,300.6815
1.5,0000 1 Nov 1992,299.2864,296.959,298.1494,301.473
2.5,0000 1 Nov 1992,299.1423,298.1514,298.3956,301.1396
3.5,0000 1 Nov 1992,299.217,299.0819,298.8462,300.9037
4.5,0000 1 Nov 1992,299.5082,299.4748,299.3139,300.8541
5.5,0000 1 Nov 1992,299.7833,298.9467,299.4086,300.9603
6.5,0000 1 Nov 1992,299.829,297.8513,299.0027,301.0586
7.5,0000 1 Nov 1992,299.5771,296.6633,298.3008,301.0277
8.5,0000 1 Nov 1992,299.1729,295.8745,297.6694,300.8647
9.5,0000 1 Nov 1992,298.8045,295.4797,297.3361,300.697
10.5,0000 1 Nov 1992,298.585,295.4619,297.2577,300.576
1.5,0000 1 Dec 1992,299.4206,297.7938,298.4437,301.4598
2.5,0000 1 Dec 1992,299.4069,298.873,298.8777,301.1745
3.5,0000 1 Dec 1992,299.6058,299.2816,299.3046,301.0497
4.5,0000 1 Dec 1992,299.8084,298.8074,299.3809,301.0521
5.5,0000 1 Dec 1992,299.8182,297.7648,299,301.066
6.5,0000 1 Dec 1992,299.5457,296.6456,298.3182,300.9846
7.5,0000 1 Dec 1992,299.1257,295.8143,297.6702,300.8229
8.5,0000 1 Dec 1992,298.7155,295.3456,297.2546,300.6481
9.5,0000 1 Dec 1992,298.4605,295.2574,297.1351,300.504
10.5,0000 1 Dec 1992,298.323,295.6026,297.1754,300.3643
1.5,0000 1 Jan 1993,299.8242,299.139,299.2271,301.4552
2.5,0000 1 Jan 1993,299.9998,299.7331,299.6837,301.354
3.5,0000 1 Jan 1993,300.1986,299.2272,299.7469,301.3737
4.5,0000 1 Jan 1993,300.1848,298.0824,299.3329,301.4025
5.5,0000 1 Jan 1993,299.8362,296.8157,298.5599,301.3058
6.5,0000 1 Jan 1993,299.3091,295.9612,297.8169,301.0795
7.5,0000 1 Jan 1993,298.8306,295.5175,297.3567,300.8487
8.5,0000 1 Jan 1993,298.5631,295.4535,297.2299,300.6785
9.5,0000 1 Jan 1993,298.4526,295.759,297.2888,300.5592
10.5,0000 1 Jan 1993,298.3593,296.2838,297.3788,300.4027
1.5,0000 1 Feb 1993,300.4557,300.0343,300.1133,301.6926
2.5,0000 1 Feb 1993,300.6936,299.6259,300.2595,301.7565
3.5,0000 1 Feb 1993,300.6923,298.63,299.9161,301.7906
4.5,0000 1 Feb 1993,300.3025,297.4213,299.1155,301.6668
5.5,0000 1 Feb 1993,299.6942,296.517,298.2718,301.4076
6.5,0000 1 Feb 1993,299.1303,295.9715,297.6856,301.1339
7.5,0000 1 Feb 1993,298.7884,295.8153,297.474,300.916
8.5,0000 1 Feb 1993,298.6128,295.9957,297.4655,300.7343
9.5,0000 1 Feb 1993,298.4497,296.4375,297.4927,300.5091
10.5,0000 1 Feb 1993,298.2813,297.1363,297.5817,300.2095
1.5,0000 1 Mar 1993,301.0405,299.7128,300.6027,301.9605
2.5,0000 1 Mar 1993,300.9999,298.7349,300.2419,301.9879
3.5,0000 1 Mar 1993,300.5071,297.5923,299.4122,301.7968
4.5,0000 1 Mar 1993,299.801,296.6711,298.493,301.4626
5.5,0000 1 Mar 1993,299.171,296.1086,297.8172,301.1309
6.5,0000 1 Mar 1993,298.7833,295.911,297.5247,300.8832
7.5,0000 1 Mar 1993,298.5748,296.0858,297.4876,300.6743
8.5,0000 1 Mar 1993,298.359,296.4863,297.463,300.4027
9.5,0000 1 Mar 1993,298.1443,297.149,297.5078,300.0616
10.5,0000 1 Mar 1993,298.0548,298.0136,297.7163,299.7337
1.5,0000 1 Apr 1993,301.2033,299.122,300.6392,302.0432
2.5,0000 1 Apr 1993,300.6324,298.0489,299.7383,301.8877
3.5,0000 1 Apr 1993,299.8603,297.0341,298.7161,301.5657
4.5,0000 1 Apr 1993,299.1763,296.3205,297.9326,301.2122
5.5,0000 1 Apr 1993,298.7657,295.9979,297.5555,300.9237
6.5,0000 1 Apr 1993,298.5382,296.101,297.4614,300.6794
7.5,0000 1 Apr 1993,298.3134,296.486,297.4368,300.3815
8.5,0000 1 Apr 1993,298.1038,297.1598,297.5051,300.0228
9.5,0000 1 Apr 1993,298.04,298.0418,297.8028,299.6784
10.5,0000 1 Apr 1993,298.2376,298.8758,298.2645,299.5219
1.5,0000 1 May 1993,300.7601,298.1308,299.9203,301.952
2.5,0000 1 May 1993,299.9904,297.2785,298.9343,301.6613
3.5,0000 1 May 1993,299.3438,296.6174,298.1931,301.331
4.5,0000 1 May 1993,298.9889,296.3876,297.8584,301.0851
5.5,0000 1 May 1993,298.8428,296.5388,297.8184,300.8986
6.5,0000 1 May 1993,298.6913,296.9214,297.8052,300.6765
7.5,0000 1 May 1993,298.5024,297.5061,297.8466,300.3537
8.5,0000 1 May 1993,298.4154,298.2889,298.0725,300.0332
9.5,0000 1 May 1993,298.5334,299.0317,298.4622,299.8342
10.5,0000 1 May 1993,298.8193,299.3045,298.8481,299.872
1.5,0000 1 Jun 1993,300.1273,297.1018,298.9921,301.8582
