L,M,MON,LDC_SST_GEM52_NEMO
4.5,16,0000 1 Feb 1991,299.1423
5.5,16,0000 1 Feb 1991,298.4783
6.5,16,0000 1 Feb 1991,297.7809
7.5,16,0000 1 Feb 1991,297.3708
8.5,16,0000 1 Feb 1991,297.1585
9.5,16,0000 1 Feb 1991,296.9993
10.5,16,0000 1 Feb 1991,296.8481
1.5,17,0000 1 Feb 1991,299.7377
2.5,17,0000 1 Feb 1991,299.7856
3.5,17,0000 1 Feb 1991,299.8477
4.5,17,0000 1 Feb 1991,299.4756
5.5,17,0000 1 Feb 1991,298.8147
6.5,17,0000 1 Feb 1991,298.1289
7.5,17,0000 1 Feb 1991,297.7794
8.5,17,0000 1 Feb 1991,297.7111
9.5,17,0000 1 Feb 1991,297.7936
10.5,17,0000 1 Feb 1991,297.9071
1.5,18,0000 1 Feb 1991,299.9005
2.5,18,0000 1 Feb 1991,299.784
3.5,18,0000 1 Feb 1991,299.4184
4.5,18,0000 1 Feb 1991,298.8487
5.5,18,0000 1 Feb 1991,298.2762
6.5,18,0000 1 Feb 1991,297.8736
7.5,18,0000 1 Feb 1991,297.4656
8.5,18,0000 1 Feb 1991,297.2536
9.5,18,0000 1 Feb 1991,297.1428
10.5,18,0000 1 Feb 1991,297.0567
1.5,19,0000 1 Feb 1991,299.7957
2.5,19,0000 1 Feb 1991,299.7216
3.5,19,0000 1 Feb 1991,299.4709
4.5,19,0000 1 Feb 1991,298.9266
5.5,19,0000 1 Feb 1991,298.2495
6.5,19,0000 1 Feb 1991,297.5098
7.5,19,0000 1 Feb 1991,296.8833
8.5,19,0000 1 Feb 1991,296.4989
9.5,19,0000 1 Feb 1991,296.3869
10.5,19,0000 1 Feb 1991,296.6428
1.5,20,0000 1 Feb 1991,299.8909
2.5,20,0000 1 Feb 1991,299.8065
3.5,20,0000 1 Feb 1991,299.5667
4.5,20,0000 1 Feb 1991,299.0892
5.5,20,0000 1 Feb 1991,298.5692
6.5,20,0000 1 Feb 1991,298.0136
7.5,20,0000 1 Feb 1991,297.5272
8.5,20,0000 1 Feb 1991,297.1783
9.5,20,0000 1 Feb 1991,296.9401
10.5,20,0000 1 Feb 1991,296.8236
1.5,1,0000 1 Mar 1991,300.522
2.5,1,0000 1 Mar 1991,300.3798
3.5,1,0000 1 Mar 1991,299.842
4.5,1,0000 1 Mar 1991,299.1007
5.5,1,0000 1 Mar 1991,298.4309
6.5,1,0000 1 Mar 1991,298.0501
7.5,1,0000 1 Mar 1991,297.8792
8.5,1,0000 1 Mar 1991,297.786
9.5,1,0000 1 Mar 1991,297.742
10.5,1,0000 1 Mar 1991,297.7486
1.5,2,0000 1 Mar 1991,300.3675
