L,MON,LDC_SST_CanCM4i_IC3
3.5,0000 1 Jul 1994,298.9651
4.5,0000 1 Jul 1994,299.3122
5.5,0000 1 Jul 1994,299.5235
6.5,0000 1 Jul 1994,299.6351
7.5,0000 1 Jul 1994,299.718
8.5,0000 1 Jul 1994,299.9712
9.5,0000 1 Jul 1994,300.3298
10.5,0000 1 Jul 1994,300.5212
1.5,0000 1 Aug 1994,299.2292
2.5,0000 1 Aug 1994,299.1656
3.5,0000 1 Aug 1994,299.4745
4.5,0000 1 Aug 1994,299.6987
5.5,0000 1 Aug 1994,299.8052
6.5,0000 1 Aug 1994,299.9211
7.5,0000 1 Aug 1994,300.2063
8.5,0000 1 Aug 1994,300.5774
9.5,0000 1 Aug 1994,300.7635
10.5,0000 1 Aug 1994,300.5243
1.5,0000 1 Sep 1994,299.8078
2.5,0000 1 Sep 1994,299.8952
3.5,0000 1 Sep 1994,300.0416
4.5,0000 1 Sep 1994,300.148
5.5,0000 1 Sep 1994,300.3211
6.5,0000 1 Sep 1994,300.6734
7.5,0000 1 Sep 1994,301.0474
8.5,0000 1 Sep 1994,301.1472
9.5,0000 1 Sep 1994,300.8147
10.5,0000 1 Sep 1994,300.0612
1.5,0000 1 Oct 1994,300.3141
2.5,0000 1 Oct 1994,300.2394
3.5,0000 1 Oct 1994,300.1369
4.5,0000 1 Oct 1994,300.1145
5.5,0000 1 Oct 1994,300.2961
6.5,0000 1 Oct 1994,300.5889
7.5,0000 1 Oct 1994,300.6514
8.5,0000 1 Oct 1994,300.2662
9.5,0000 1 Oct 1994,299.3727
10.5,0000 1 Oct 1994,298.3834
1.5,0000 1 Nov 1994,300.532
2.5,0000 1 Nov 1994,300.2816
3.5,0000 1 Nov 1994,300.1663
4.5,0000 1 Nov 1994,300.343
5.5,0000 1 Nov 1994,300.6683
6.5,0000 1 Nov 1994,300.801
7.5,0000 1 Nov 1994,300.5
8.5,0000 1 Nov 1994,299.7978
9.5,0000 1 Nov 1994,299.0753
10.5,0000 1 Nov 1994,298.6304
1.5,0000 1 Dec 1994,300.3532
2.5,0000 1 Dec 1994,300.0038
3.5,0000 1 Dec 1994,300.0691
4.5,0000 1 Dec 1994,300.3375
5.5,0000 1 Dec 1994,300.4177
6.5,0000 1 Dec 1994,299.9724
7.5,0000 1 Dec 1994,299.0922
8.5,0000 1 Dec 1994,298.2659
9.5,0000 1 Dec 1994,297.7601
10.5,0000 1 Dec 1994,297.6601
1.5,0000 1 Jan 1995,300.5695
2.5,0000 1 Jan 1995,300.5623
3.5,0000 1 Jan 1995,300.5847
4.5,0000 1 Jan 1995,300.425
5.5,0000 1 Jan 1995,299.8522
6.5,0000 1 Jan 1995,298.9088
7.5,0000 1 Jan 1995,297.9892
8.5,0000 1 Jan 1995,297.4361
9.5,0000 1 Jan 1995,297.3535
10.5,0000 1 Jan 1995,297.4557
1.5,0000 1 Feb 1995,300.9067
2.5,0000 1 Feb 1995,300.8986
3.5,0000 1 Feb 1995,300.6235
4.5,0000 1 Feb 1995,299.9276
5.5,0000 1 Feb 1995,298.9803
6.5,0000 1 Feb 1995,298.159
7.5,0000 1 Feb 1995,297.73
8.5,0000 1 Feb 1995,297.7345
9.5,0000 1 Feb 1995,297.8637
10.5,0000 1 Feb 1995,297.9333
1.5,0000 1 Mar 1995,301.1359
2.5,0000 1 Mar 1995,301.0463
3.5,0000 1 Mar 1995,300.5137
4.5,0000 1 Mar 1995,299.6299
5.5,0000 1 Mar 1995,298.8225
6.5,0000 1 Mar 1995,298.3793
7.5,0000 1 Mar 1995,298.416
8.5,0000 1 Mar 1995,298.6158
9.5,0000 1 Mar 1995,298.6805
10.5,0000 1 Mar 1995,298.6306
1.5,0000 1 Apr 1995,300.8553
2.5,0000 1 Apr 1995,300.2785
3.5,0000 1 Apr 1995,299.3951
4.5,0000 1 Apr 1995,298.5991
5.5,0000 1 Apr 1995,298.1913
6.5,0000 1 Apr 1995,298.2411
7.5,0000 1 Apr 1995,298.422
8.5,0000 1 Apr 1995,298.52
9.5,0000 1 Apr 1995,298.5146
10.5,0000 1 Apr 1995,298.5173
1.5,0000 1 May 1995,299.8642
