L,MON,LDC_SST_COLA_CESM1,LDC_SST_COLA_CESM1_ONETWO,LDC_SST_COLA_CESM1_THREE,LDC_SST_COLA_CESM1_FOUR
8.5,0000 1 Jan 1993,24.52288,19.22033,22.80758,26.66194
9.5,0000 1 Jan 1993,24.35509,19.63595,22.72087,26.53321
10.5,0000 1 Jan 1993,24.51556,20.3818,23.02396,26.64652
1.5,0000 1 Feb 1993,27.36774,24.41233,26.65204,28.44644
2.5,0000 1 Feb 1993,27.80018,23.79073,26.8584,28.69967
3.5,0000 1 Feb 1993,28.01025,22.48877,26.67319,28.90939
4.5,0000 1 Feb 1993,27.7937,21.14547,26.00232,28.95434
5.5,0000 1 Feb 1993,27.03425,20.26469,25.0656,28.66188
6.5,0000 1 Feb 1993,26.02755,19.8433,24.14413,28.04269
7.5,0000 1 Feb 1993,25.21085,19.83531,23.5255,27.42794
8.5,0000 1 Feb 1993,24.91962,20.16545,23.30558,27.1529
9.5,0000 1 Feb 1993,25.00519,20.81494,23.48503,27.15734
10.5,0000 1 Feb 1993,25.22321,21.85196,23.95729,27.20737
1.5,0000 1 Mar 1993,28.00502,24.02674,27.23103,28.69511
2.5,0000 1 Mar 1993,28.23053,22.8657,26.9765,28.93044
3.5,0000 1 Mar 1993,27.90885,21.57192,26.1761,28.97715
4.5,0000 1 Mar 1993,27.09805,20.47006,25.12433,28.71102
5.5,0000 1 Mar 1993,26.11396,19.8399,24.1702,28.13872
6.5,0000 1 Mar 1993,25.33965,19.72598,23.55453,27.57239
7.5,0000 1 Mar 1993,25.07015,20.03091,23.37102,27.29068
8.5,0000 1 Mar 1993,25.12304,20.69302,23.55107,27.29266
9.5,0000 1 Mar 1993,25.30016,21.76446,23.99683,27.34723
10.5,0000 1 Mar 1993,25.47267,23.06642,24.57837,27.33078
1.5,0000 1 Apr 1993,28.40231,23.66658,27.45987,28.99322
2.5,0000 1 Apr 1993,28.22813,22.40347,26.70857,29.07084
3.5,0000 1 Apr 1993,27.52223,21.2443,25.6282,28.89548
4.5,0000 1 Apr 1993,26.60063,20.42059,24.687,28.49229
5.5,0000 1 Apr 1993,25.86905,20.21935,24.0985,28.03808
6.5,0000 1 Apr 1993,25.63249,20.50076,23.97521,27.78735
