M,L,MON,LDC_SST_NCEP_CFSv2
15,7.5,0000 1 Feb 1991,26.15235
16,7.5,0000 1 Feb 1991,26.28432
17,7.5,0000 1 Feb 1991,27.31499
18,7.5,0000 1 Feb 1991,26.36293
19,7.5,0000 1 Feb 1991,26.77679
20,7.5,0000 1 Feb 1991,26.00072
21,7.5,0000 1 Feb 1991,26.05118
22,7.5,0000 1 Feb 1991,25.54459
23,7.5,0000 1 Feb 1991,26.10243
24,7.5,0000 1 Feb 1991,26.3791
1,8.5,0000 1 Feb 1991,25.00799
2,8.5,0000 1 Feb 1991,26.06643
3,8.5,0000 1 Feb 1991,25.58165
4,8.5,0000 1 Feb 1991,25.77381
5,8.5,0000 1 Feb 1991,25.44772
6,8.5,0000 1 Feb 1991,24.57675
7,8.5,0000 1 Feb 1991,26.55732
8,8.5,0000 1 Feb 1991,26.36079
9,8.5,0000 1 Feb 1991,27.03898
10,8.5,0000 1 Feb 1991,27.46619
11,8.5,0000 1 Feb 1991,25.22797
12,8.5,0000 1 Feb 1991,24.65409
13,8.5,0000 1 Feb 1991,26.93403
14,8.5,0000 1 Feb 1991,25.78985
15,8.5,0000 1 Feb 1991,25.96939
16,8.5,0000 1 Feb 1991,26.51174
17,8.5,0000 1 Feb 1991,27.57516
18,8.5,0000 1 Feb 1991,26.3116
19,8.5,0000 1 Feb 1991,26.96551
20,8.5,0000 1 Feb 1991,25.94938
21,8.5,0000 1 Feb 1991,26.21887
22,8.5,0000 1 Feb 1991,25.51036
23,8.5,0000 1 Feb 1991,26.55779
24,8.5,0000 1 Feb 1991,26.4893
1,1.5,0000 1 Mar 1991,27.61363
2,1.5,0000 1 Mar 1991,27.41172
3,1.5,0000 1 Mar 1991,27.40368
4,1.5,0000 1 Mar 1991,27.39854
5,1.5,0000 1 Mar 1991,27.97755
6,1.5,0000 1 Mar 1991,27.65597
7,1.5,0000 1 Mar 1991,27.99321
8,1.5,0000 1 Mar 1991,27.73816
9,1.5,0000 1 Mar 1991,27.70585
10,1.5,0000 1 Mar 1991,27.62278
11,1.5,0000 1 Mar 1991,27.78256
12,1.5,0000 1 Mar 1991,27.51168
13,1.5,0000 1 Mar 1991,27.73848
14,1.5,0000 1 Mar 1991,27.80379
15,1.5,0000 1 Mar 1991,27.98839
16,1.5,0000 1 Mar 1991,28.03574
17,1.5,0000 1 Mar 1991,28.18439
18,1.5,0000 1 Mar 1991,28.1545
19,1.5,0000 1 Mar 1991,27.92586
20,1.5,0000 1 Mar 1991,27.78942
21,1.5,0000 1 Mar 1991,28.03441
22,1.5,0000 1 Mar 1991,27.80251
23,1.5,0000 1 Mar 1991,27.76098
24,1.5,0000 1 Mar 1991,27.902
1,2.5,0000 1 Mar 1991,27.85306
2,2.5,0000 1 Mar 1991,27.77083
3,2.5,0000 1 Mar 1991,27.65691
4,2.5,0000 1 Mar 1991,27.62836
5,2.5,0000 1 Mar 1991,28.49919
6,2.5,0000 1 Mar 1991,27.9368
7,2.5,0000 1 Mar 1991,28.41609
8,2.5,0000 1 Mar 1991,28.08859
9,2.5,0000 1 Mar 1991,28.14063
10,2.5,0000 1 Mar 1991,28.04252
11,2.5,0000 1 Mar 1991,28.40819
12,2.5,0000 1 Mar 1991,27.83924
13,2.5,0000 1 Mar 1991,28.22116
14,2.5,0000 1 Mar 1991,28.17816
15,2.5,0000 1 Mar 1991,28.53442
16,2.5,0000 1 Mar 1991,28.32289
17,2.5,0000 1 Mar 1991,28.78956
18,2.5,0000 1 Mar 1991,28.72022
19,2.5,0000 1 Mar 1991,28.37383
20,2.5,0000 1 Mar 1991,28.15191
21,2.5,0000 1 Mar 1991,28.61677
22,2.5,0000 1 Mar 1991,28.29329
23,2.5,0000 1 Mar 1991,28.26999
24,2.5,0000 1 Mar 1991,28.28881
1,3.5,0000 1 Mar 1991,27.32393
2,3.5,0000 1 Mar 1991,27.59475
3,3.5,0000 1 Mar 1991,27.29689
4,3.5,0000 1 Mar 1991,27.62312
5,3.5,0000 1 Mar 1991,28.32462
6,3.5,0000 1 Mar 1991,27.66163
7,3.5,0000 1 Mar 1991,28.33058
8,3.5,0000 1 Mar 1991,27.70452
9,3.5,0000 1 Mar 1991,28.00304
10,3.5,0000 1 Mar 1991,27.9108
11,3.5,0000 1 Mar 1991,28.5723
12,3.5,0000 1 Mar 1991,27.58109
13,3.5,0000 1 Mar 1991,28.32984
14,3.5,0000 1 Mar 1991,28.10325
15,3.5,0000 1 Mar 1991,28.61472
16,3.5,0000 1 Mar 1991,28.05039
17,3.5,0000 1 Mar 1991,28.86296
18,3.5,0000 1 Mar 1991,28.6554
19,3.5,0000 1 Mar 1991,28.23568
